Force(N),Distance(mm),Time(ms)
-0.01016492,100,738
-0.01051633,103,782
-0.01044605,102,875
-0.01078742,102,968
-0.01047617,107,1061
-0.01037576,103,1171
-0.0108577,103,1247
-0.01073722,101,1353
-0.01092798,101,1433
-0.01069705,104,1526
-0.01044605,103,1619
-0.01076734,101,1712
-0.01043601,103,1805
-0.01032556,102,1898
-0.01057657,101,1990
-0.01048621,100,2090
-0.0109581,103,2201
-0.01104847,101,2270
-0.0108075,103,2363
-0.01037576,101,2455
-0.01037576,102,2548
-0.01041592,101,2641
-0.01055649,103,2734
-0.0108075,100,2827
-0.01026532,103,2933
-0.01041592,101,3013
-0.01077738,100,3106
-0.01086774,102,3217
-0.01066693,100,3292
-0.01055649,98,3385
-0.01097818,102,3478
-0.01052637,99,3572
-0.01025528,104,3664
-0.01015488,104,3771
-0.01051633,100,3850
-0.01069705,104,3943
-0.01059665,103,4036
-0.0103858,101,4129
-0.01032556,100,4240
-0.0108075,100,4315
-0.01081754,105,4408
-0.01092798,103,4501
-0.01068702,99,4594
-0.01056653,99,4687
-0.0103858,102,4780
-0.01067697,102,4873
-0.01125932,99,4966
-0.01077738,100,5059
-0.01022516,99,5152
-0.01017496,103,5275
-0.01058661,97,5339
-0.0108075,100,5431
-0.01097818,100,5525
-0.01054645,102,5617
-0.01051633,100,5711
-0.01064685,100,5804
-0.01053641,100,5896
-0.01078742,102,5990
-0.01069705,103,6083
-0.01054645,101,6189
-0.01046613,99,6300
-0.01041592,98,6361
-0.01037576,98,6454
-0.01064685,101,6547
-0.01082758,100,6641
-0.01079746,97,6733
-0.01046613,99,6827
-0.01017496,98,6919
-0.01003439,100,7013
-0.01009463,101,7106
-0.01049625,99,7199
-0.01046613,99,7309
-0.01057657,97,7385
-0.0102352,99,7478
-0.01031552,96,7571
-0.01056653,100,7664
-0.01106855,99,7757
-0.01112879,100,7850
-0.01118903,96,7943
-0.01087778,97,8036
-0.01086774,102,8129
-0.01083762,101,8222
-0.01047617,100,8332
-0.01031552,102,8408
-0.009502253,97,8501
-0.01006451,103,8594
-0.01051633,98,8687
-0.01073722,101,8780
-0.01063681,98,8873
-0.01036572,98,8966
-0.01027536,100,9059
-0.01069705,98,9152
-0.01083762,96,9245
-0.01116895,98,9355
-0.01050629,99,9431
-0.01073722,98,9524
-0.01056653,101,9617
-0.01015488,98,9710
-0.01032556,98,9803
-0.01031552,99,9896
-0.01077738,102,9989
-0.01030548,102,10082
-0.01005447,100,10175
-0.01054645,100,10268
-0.01068702,100,10392
-0.01064685,97,10454
-0.01031552,101,10547
-0.01016492,102,10640
-0.01001431,101,10733
-0.0103356,97,10826
-0.01042597,100,10919
-0.01043601,98,11012
-0.01076734,102,11105
-0.01099827,98,11198
-0.0109581,99,11291
-0.01052637,96,11397
-0.01069705,95,11477
-0.01035568,97,11570
-0.01061673,99,11663
-0.01082758,98,11756
-0.01079746,99,11849
-0.01070709,96,11942
-0.01040588,94,12035
-0.0103858,99,12128
-0.01017496,97,12221
-0.01049625,98,12314
-0.01067697,99,12424
-0.0103858,96,12500
-0.0103356,96,12593
-0.01053641,98,12686
-0.01041592,99,12779
-0.0102352,99,12872
-0.01049625,98,12965
-0.01016492,98,13058
-0.01002435,96,13151
-0.0102352,98,13244
-0.01056653,97,13337
-0.01046613,96,13447
-0.01082758,97,13523
-0.01062677,97,13616
-0.01054645,96,13709
-0.01022516,97,13802
-0.0103356,98,13895
-0.01082758,98,13988
-0.0108577,97,14081
-0.01108863,98,14174
-0.01067697,95,14267
-0.01058661,100,14360
-0.01114887,97,14484
-0.01125932,97,14546
-0.01098822,98,14639
-0.01057657,96,14732
-0.01107859,96,14825
-0.01055649,97,14918
-0.009944028,93,15011
-0.01014484,98,15104
-0.01048621,97,15197
-0.01046613,95,15290
-0.01055649,97,15383
-0.01081754,96,15493
-0.01063681,93,15570
-0.01049625,93,15662
-0.01044605,98,15755
-0.01067697,97,15848
-0.01070709,98,15941
-0.01025528,95,16034
-0.01025528,94,16127
-0.01055649,96,16220
-0.01074726,97,16313
-0.01058661,98,16406
-0.01049625,94,16516
-0.01047617,95,16592
-0.0102352,95,16685
-0.01011472,96,16778
-0.01031552,97,16871
-0.01047617,94,16964
-0.01065689,94,17057
-0.01025528,96,17150
-0.01048621,95,17243
-0.01102839,96,17336
-0.01086774,94,17429
-0.01066693,94,17540
-0.01068702,96,17615
-0.01044605,93,17708
-0.01086774,94,17801
-0.01057657,93,17894
-0.01054645,95,17988
-0.0107573,92,18080
-0.01066693,97,18173
-0.01070709,98,18266
-0.01053641,97,18359
-0.01042597,98,18452
-0.01024524,93,18563
-0.01039584,93,18638
-0.01066693,94,18731
-0.0108577,93,18826
-0.01079746,94,18917
-0.01054645,96,19010
-0.01060669,93,19103
-0.01042597,95,19196
-0.0108577,93,19289
-0.01073722,95,19382
-0.01096814,91,19475
-0.01047617,93,19581
-0.01010467,95,19665
-0.0102352,92,19754
-0.01022516,95,19847
-0.010185,92,19940
-0.01034564,96,20033
-0.01107859,95,20126
-0.01066693,95,20219
-0.01031552,93,20312
-0.01053641,94,20405
-0.01067697,93,20498
-0.01093802,93,20609
-0.0108075,94,20684
-0.01049625,95,20777
-0.0103858,94,20870
-0.01040588,95,20963
-0.01039584,94,21056
-0.01065689,95,21149
-0.0109079,93,21244
-0.0102854,94,21335
-0.0102352,96,21428
-0.0103858,97,21521
-0.01047617,93,21632
-0.01082758,93,21707
-0.01073722,94,21800
-0.01017496,92,21893
-0.009863705,90,21986
-0.01005447,92,22082
-0.01051633,96,22172
-0.01101835,94,22265
-0.0108075,95,22358
-0.01081754,94,22451
-0.01071714,91,22544
-0.01052637,92,22655
-0.01061673,93,22730
-0.01036572,93,22823
-0.01045609,93,22921
-0.01040588,98,23009
-0.01013479,93,23102
-0.01041592,94,23195
-0.01062677,95,23288
-0.01083762,94,23381
-0.01117899,88,23474
-0.01086774,92,23567
-0.01061673,96,23678
-0.01039584,95,23762
-0.01101835,92,23846
-0.01073722,93,23939
-0.01011472,93,24032
-0.01020508,95,24125
-0.01046613,89,24218
-0.01034564,91,24311
-0.01006451,94,24404
-0.01003439,93,24499
-0.01031552,90,24590
-0.0108075,94,24701
-0.0108577,94,24776
-0.01063681,95,24869
-0.01068702,93,24962
-0.01101835,94,25055
-0.0109079,93,25148
-0.01071714,91,25241
-0.01072718,93,25338
-0.0108075,93,25427
-0.01072718,93,25520
-0.01100831,90,25613
-0.01106855,93,25719
-0.01053641,91,25799
-0.01069705,93,25892
-0.01086774,94,25985
-0.01108863,92,26078
-0.01081754,92,26176
-0.01064685,93,26264
-0.01097818,91,26357
-0.01061673,91,26450
-0.01071714,96,26543
-0.01061673,88,26636
-0.01064685,90,26747
-0.0108075,93,26822
-0.01086774,94,26915
-0.01050629,89,27015
-0.01042597,93,27101
-0.0103356,90,27194
-0.01035568,93,27287
-0.01057657,92,27380
-0.0103356,89,27473
-0.01047617,88,27566
-0.01092798,92,27659
-0.01077738,93,27770
-0.0109079,90,27853
-0.01024524,91,27938
-0.01054645,92,28031
-0.01067697,89,28124
-0.01056653,91,28217
-0.01073722,90,28310
-0.01081754,92,28403
-0.01086774,93,28496
-0.0107573,92,28594
-0.01047617,89,28682
-0.01069705,90,28793
-0.01113883,90,28868
-0.01088782,90,28961
-0.01077738,88,29054
-0.01092798,94,29147
-0.01060669,92,29240
-0.01076734,93,29333
-0.01059665,89,29433
-0.01027536,89,29519
-0.01069705,91,29612
-0.0109581,92,29705
-0.01066693,91,29811
-0.0102352,90,29891
-0.01022516,89,29984
-0.01070709,87,30077
-0.01022516,87,30170
-0.01049625,91,30267
-0.01041592,90,30356
-0.01056653,89,30449
-0.01087778,91,30542
-0.01059665,88,30635
-0.01030548,92,30728
-0.0103858,87,30839
-0.01044605,89,30914
-0.01056653,89,31007
-0.01086774,88,31109
-0.01122919,89,31193
-0.01061673,89,31286
-0.01067697,89,31379
-0.01088782,93,31472
-0.01097818,92,31565
-0.01063681,88,31658
-0.01036572,90,31751
-0.01056653,90,31862
-0.01047617,87,31947
-0.01047617,89,32030
-0.01069705,90,32123
-0.01062677,89,32216
-0.01053641,90,32309
-0.01086774,87,32402
-0.01069705,86,32495
-0.01079746,90,32588
-0.01054645,87,32687
-0.01013479,89,32774
-0.01025528,88,32885
-0.01062677,86,32960
-0.01026532,89,33053
-0.01073722,87,33146
-0.01103843,88,33239
-0.01031552,87,33332
-0.01000427,87,33425
-0.01047617,89,33526
-0.01096814,88,33611
-0.01073722,89,33704
-0.01059665,91,33797
-0.01083762,88,33908
-0.01097818,86,33983
-0.01078742,89,34076
-0.01065689,86,34169
-0.01076734,87,34262
-0.01097818,87,34365
-0.0107573,87,34448
-0.01065689,87,34541
-0.01070709,90,34634
-0.0102854,88,34727
-0.01001431,89,34820
-0.0107573,88,34928
-0.01109867,90,35006
-0.01059665,88,35099
-0.01059665,87,35199
-0.01047617,85,35285
-0.01039584,90,35378
-0.01057657,89,35471
-0.01069705,87,35564
-0.01051633,85,35657
-0.01086774,88,35750
-0.01067697,84,35843
-0.01055649,85,35954
-0.01061673,86,36037
-0.01089786,84,36122
-0.0108075,87,36215
-0.01071714,88,36308
-0.01105851,87,36401
-0.01082758,86,36494
-0.01059665,86,36587
-0.01069705,87,36680
-0.01032556,88,36774
-0.01022516,88,36866
-0.0102352,86,36977
-0.01032556,86,37052
-0.01042597,88,37145
-0.01055649,86,37238
-0.01054645,88,37331
-0.01042597,86,37424
-0.01035568,87,37517
-0.01040588,86,37617
-0.01044605,85,37703
-0.01087778,86,37796
-0.01081754,87,37890
-0.01062677,87,38000
-0.01086774,82,38076
-0.01126935,84,38169
-0.01066693,86,38262
-0.01133964,86,38355
-0.01089786,87,38455
-0.01041592,85,38541
-0.01020508,84,38634
-0.01062677,85,38726
-0.01073722,84,38819
-0.01025528,88,38912
-0.01066693,85,39023
-0.01097818,86,39099
-0.01099827,86,39191
-0.01119907,88,39294
-0.0108577,84,39377
-0.01058661,85,39470
-0.01105851,85,39563
-0.01099827,85,39656
-0.01019504,84,39750
-0.01017496,87,39843
-0.01060669,85,39936
-0.01077738,85,40046
-0.01073722,88,40135
-0.01070709,85,40215
-0.01074726,87,40308
-0.01046613,84,40401
-0.01058661,84,40494
-0.0109581,88,40587
-0.01069705,83,40680
-0.0102854,87,40773
-0.01026532,90,40872
-0.01065689,87,40959
-0.01068702,87,41069
-0.01069705,85,41145
-0.01057657,86,41238
-0.0109581,88,41331
-0.01026532,82,41424
-0.01010467,85,41517
-0.01050629,87,41610
-0.0102854,87,41710
-0.01032556,84,41796
-0.01091794,85,41889
-0.01103843,85,41982
-0.0109581,85,42088
-0.01063681,84,42168
-0.01072718,82,42261
-0.01104847,84,42354
-0.01125932,85,42447
-0.01123923,83,42548
-0.01057657,84,42633
-0.01031552,85,42726
-0.01049625,83,42819
-0.01077738,87,42912
-0.01089786,85,43005
-0.01059665,81,43115
-0.01076734,84,43191
-0.01070709,82,43284
-0.01053641,83,43386
-0.01060669,85,43470
-0.01109867,84,43563
-0.01114887,86,43656
-0.01040588,81,43749
-0.009723141,86,43842
-0.01035568,85,43935
-0.01040588,84,44028
-0.01054645,86,44139
-0.01078742,83,44214
-0.01098822,84,44307
-0.01065689,84,44400
-0.01057657,83,44493
-0.01073722,81,44586
-0.0108577,83,44679
-0.01082758,85,44772
-0.01082758,83,44865
-0.01065689,81,44966
-0.01043601,82,45051
-0.01025528,84,45161
-0.01041592,84,45237
-0.01054645,82,45330
-0.009944028,83,45423
-0.009944028,78,45516
-0.01047617,82,45609
-0.01074726,84,45702
-0.01057657,84,45805
-0.01047617,84,45888
-0.01077738,85,45981
-0.01088782,83,46074
-0.01079746,83,46184
-0.01056653,80,46260
-0.01077738,82,46353
-0.01052637,85,46446
-0.0102854,81,46539
-0.01065689,83,46632
-0.01065689,79,46725
-0.01069705,81,46818
-0.01111875,83,46911
-0.01128944,82,47004
-0.01108863,82,47097
-0.01046613,81,47207
-0.01003439,82,47282
-0.01049625,81,47375
-0.01081754,83,47468
-0.0108577,82,47561
-0.01040588,82,47654
-0.009642818,84,47747
-0.009632777,82,47840
-0.01098822,83,47933
-0.01113883,80,48026
-0.01066693,81,48119
-0.01092798,83,48230
-0.0108577,79,48305
-0.01054645,81,48398
-0.01051633,81,48491
-0.01100831,81,48584
-0.0112794,81,48677
-0.01056653,81,48770
-0.01029544,83,48863
-0.01048621,81,48956
-0.01031552,81,49049
-0.0102352,80,49142
-0.01035568,78,49253
-0.01048621,83,49328
-0.01053641,82,49421
-0.01088782,79,49514
-0.01093802,81,49607
-0.01088782,82,49700
-0.01044605,80,49793
-0.01078742,81,49886
-0.01086774,80,49979
-0.01065689,81,50072
-0.01070709,79,50165
-0.01092798,81,50275
-0.01077738,80,50351
-0.01071714,80,50444
-0.01115891,82,50537
-0.01094806,82,50630
-0.01011472,82,50723
-0.009954069,82,50816
-0.01057657,79,50909
-0.01039584,81,51001
-0.01077738,81,51094
-0.01100831,84,51187
-0.01135972,78,51293
-0.01117899,82,51373
