Force(N),Distance(mm),Time(ms)
-0.0001780594,98,837
0.0004143215,102,882
0.00009303015,98,975
-0.00001741374,100,1067
0.0004544828,98,1165
0.0002235548,101,1257
0.0002436354,99,1345
0.0005348057,99,1438
0.0001231512,100,1531
-0.0001579787,98,1623
0.0000829898,101,1716
0.0001231512,100,1809
0.0003239583,100,1902
0.0006352092,99,1994
0.0004544828,99,2087
0.0002938372,97,2199
0.0004243618,99,2273
0.0006552899,99,2365
0.0006452496,100,2458
0.0004143215,99,2551
0.0004645232,100,2643
0.0004846039,99,2736
0.0004544828,98,2829
0.0004645232,99,2934
0.0003942408,99,3014
0.0001934337,98,3107
0.0000829898,97,3219
0.0006552899,95,3299
0.0006753706,99,3385
0.000685411,96,3478
0.0004344022,97,3570
0.0003641197,100,3663
-0.00005757515,98,3756
-0.0003186244,98,3849
-0.0005495524,97,3941
0.0001131109,100,4034
0.0001532723,99,4127
-0.0002081804,99,4238
-0.0001780594,98,4312
-0.000007373384,96,4405
0.00002274768,99,4497
-0.0002985436,101,4590
-0.0000676155,96,4683
0.0003139179,101,4775
0.0003540793,97,4868
-0.00002745409,99,4974
-0.00004753479,99,5054
0.00007294944,94,5146
0.0002135144,97,5258
0.000203474,94,5341
-0.0001077769,97,5424
-0.00005757515,98,5517
0.0001231512,98,5610
-0.0001981401,95,5703
0.000344039,96,5795
0.00004282838,99,5888
-0.0006800771,98,5981
-0.0008306824,96,6073
0.0001833933,96,6166
0.0004042811,97,6278
0.0001231512,99,6352
0.0001833933,97,6444
0.0002335951,93,6537
0.0002637161,98,6630
0.001097065,97,6722
0.0006050881,97,6815
0.000514725,98,6908
0.0004645232,99,7000
0.0001432319,95,7093
0.00007294944,96,7186
0.0001934337,93,7297
0.0001633126,97,7384
0.00003278803,99,7464
-0.00004753479,95,7557
0.00004282838,96,7649
0.00007294944,96,7742
-0.000007373384,98,7835
-0.0001278576,95,7927
-0.00005757515,95,8020
0.0002837968,99,8113
0.0002737565,98,8206
0.00009303015,97,8317
0.0001231512,96,8391
0.0001432319,99,8484
0.0000829898,95,8576
0.0002837968,94,8669
0.0001231512,98,8762
