Force(N),Distance(mm),Time(ms)
-0.007855635,103,150
-0.00826729,102,220
-0.007915877,103,313
-0.007845595,103,406
-0.007895797,100,499
-0.007213053,105,592
-0.006781317,99,685
-0.007333536,104,778
-0.007674909,102,871
-0.007845595,100,964
-0.008036361,102,1057
-0.008126724,100,1204
-0.008437976,101,1242
-0.008116684,100,1335
-0.007182932,97,1428
-0.006992164,103,1521
-0.007524303,103,1614
-0.007815474,103,1707
-0.00770503,103,1800
-0.007524303,102,1893
-0.007192972,102,1986
-0.007624707,99,2079
-0.008046402,99,2190
-0.008257249,102,2265
-0.007795393,100,2358
-0.007644787,99,2451
-0.007343577,100,2544
-0.007494182,101,2637
-0.007956038,102,2729
-0.008036361,99,2822
-0.007574505,102,2915
-0.007935958,98,3008
-0.007905837,99,3101
-0.007464062,102,3212
-0.007735151,101,3287
-0.007795393,99,3380
-0.007956038,99,3473
-0.008478136,102,3566
-0.008217088,103,3659
-0.007684949,102,3752
-0.007644787,103,3845
-0.007634747,103,3938
-0.007474101,102,4031
-0.007524303,101,4124
-0.008036361,103,4234
-0.008437976,105,4309
-0.008026321,105,4402
-0.007293375,101,4495
-0.007162851,102,4588
-0.007624707,101,4681
-0.007624707,98,4774
-0.007956038,99,4867
-0.007855635,99,4961
-0.007694989,99,5053
-0.007564464,101,5146
-0.007785353,101,5256
-0.007303416,101,5331
-0.007293375,101,5424
-0.007986159,100,5517
-0.008046402,100,5610
-0.007835554,99,5703
-0.008046402,104,5801
-0.008478136,98,5889
-0.007805433,100,5982
-0.007353617,99,6075
-0.00771507,100,6168
-0.007604626,100,6279
-0.007554424,102,6354
-0.007925917,98,6447
-0.00740382,102,6540
-0.007835554,103,6645
-0.008146806,104,6725
-0.007935958,102,6818
-0.007624707,102,6911
-0.007413859,102,7004
-0.007443981,104,7097
-0.007755232,100,7190
-0.00800624,100,7301
-0.007925917,97,7376
-0.007534344,100,7469
-0.007413859,101,7562
-0.00715281,98,7655
-0.007213053,101,7748
-0.007273295,101,7841
-0.007243174,102,7934
-0.007634747,97,8027
-0.007925917,102,8120
-0.007634747,100,8222
-0.007584545,101,8333
-0.007745191,98,8399
-0.007745191,100,8491
-0.007353617,97,8584
-0.007072487,102,8677
-0.007303416,100,8770
-0.007343577,99,8863
-0.007313456,99,8956
-0.007905837,101,9049
-0.008207047,99,9142
-0.007875715,101,9235
-0.007564464,99,9346
-0.007373698,100,9421
-0.007022285,101,9514
-0.007112649,100,9607
-0.00715281,99,9700
-0.007172891,100,9793
-0.007343577,98,9885
-0.007584545,99,9978
-0.007454021,100,10071
-0.007263255,98,10164
-0.007534344,97,10257
-0.007815474,99,10368
-0.008066483,97,10443
-0.008046402,99,10536
-0.007423901,102,10629
-0.007293375,102,10722
-0.007393779,100,10815
-0.00771507,100,10908
-0.007564464,100,11001
-0.007373698,101,11094
-0.007223093,101,11187
-0.007092568,98,11280
-0.007524303,102,11390
-0.007474101,97,11465
-0.00740382,99,11558
-0.007443981,103,11651
-0.007765272,102,11744
-0.007524303,100,11837
-0.007313456,99,11930
-0.007082528,101,12023
-0.006952003,103,12116
-0.007614666,102,12209
-0.007966079,103,12302
-0.007564464,102,12449
-0.007383739,100,12488
-0.007383739,100,12581
-0.007534344,99,12674
-0.007795393,99,12767
-0.008076523,101,12859
-0.008016281,101,12952
-0.007112649,103,13045
-0.006982124,100,13138
-0.007323497,98,13231
-0.007634747,96,13324
-0.007243174,99,13435
-0.007283335,100,13510
-0.00740382,98,13603
-0.007223093,100,13696
-0.007423901,101,13789
-0.007423901,103,13882
-0.007564464,98,13975
-0.007514263,98,14068
-0.007443981,99,14161
-0.007443981,100,14253
-0.007524303,93,14346
-0.007604626,98,14457
-0.007554424,102,14532
-0.007624707,98,14629
-0.007564464,99,14718
-0.007233133,98,14811
-0.007333536,96,14904
-0.007373698,97,14997
-0.007564464,96,15090
-0.007554424,98,15183
-0.007393779,99,15276
-0.007032326,98,15370
-0.007122689,99,15477
-0.007504222,99,15555
-0.007664868,101,15648
-0.007363658,101,15741
-0.007474101,99,15833
-0.007213053,100,15926
-0.007012245,102,16019
-0.007353617,98,16112
-0.007654828,98,16206
-0.00714277,100,16298
-0.006982124,98,16391
-0.007162851,99,16497
-0.007474101,102,16577
-0.007775312,98,16670
-0.007554424,99,16763
-0.007504222,98,16856
-0.007674909,103,16949
-0.007544384,103,17042
-0.007102609,100,17135
-0.007966079,100,17228
-0.008066483,98,17321
-0.007694989,100,17413
-0.007634747,98,17524
-0.007494182,99,17599
-0.007393779,98,17692
-0.006801398,96,17785
-0.006721075,98,17885
-0.007203012,101,17971
-0.007534344,99,18064
-0.007303416,97,18157
-0.007725111,99,18250
-0.007725111,100,18343
-0.007464062,99,18436
-0.007614666,97,18547
-0.007664868,96,18622
-0.007614666,96,18725
-0.007925917,103,18808
-0.007785353,98,18900
-0.007554424,98,18993
-0.007725111,98,19086
-0.00800624,102,19179
-0.007514263,98,19272
-0.007273295,95,19365
-0.007343577,100,19462
-0.007454021,101,19581
-0.007373698,98,19644
-0.007815474,101,19737
-0.007725111,101,19830
-0.007684949,98,19923
-0.007664868,97,20016
-0.008016281,97,20109
-0.007855635,95,20202
-0.007765272,97,20306
-0.007875715,98,20388
-0.007765272,97,20481
-0.007805433,100,20591
-0.007745191,97,20667
-0.007413859,101,20759
-0.007474101,95,20852
-0.007594586,96,20945
-0.007775312,99,21038
-0.007795393,100,21131
-0.007413859,96,21224
-0.007514263,98,21317
-0.007885756,100,21410
-0.007755232,98,21503
-0.007303416,98,21614
-0.00714277,100,21689
-0.007283335,95,21782
-0.007474101,100,21875
-0.007373698,100,21968
-0.007172891,100,22061
-0.007885756,99,22154
-0.007765272,96,22247
-0.007644787,100,22340
-0.007564464,96,22433
-0.007504222,97,22526
-0.007494182,99,22636
-0.007745191,98,22712
-0.007664868,96,22804
-0.007644787,96,22897
-0.007564464,98,22990
-0.007504222,98,23083
-0.007313456,98,23176
-0.007464062,99,23269
-0.007694989,101,23362
-0.007273295,92,23455
-0.007534344,96,23548
-0.007283335,98,23672
-0.006952003,97,23734
-0.007684949,99,23827
-0.00770503,98,23921
-0.007865676,96,24013
-0.008156845,97,24106
-0.007875715,95,24199
-0.007674909,98,24292
-0.007825515,97,24385
-0.007494182,98,24478
-0.007243174,96,24571
-0.007213053,97,24682
-0.007875715,98,24761
-0.007604626,98,24850
-0.007474101,100,24942
-0.007443981,98,25035
-0.007614666,100,25128
-0.007855635,95,25221
-0.007323497,97,25314
-0.007192972,97,25407
-0.007554424,98,25500
-0.007835554,97,25593
-0.007554424,97,25704
-0.007494182,97,25779
-0.007865676,97,25872
-0.007534344,96,25965
-0.007072487,98,26058
-0.007795393,93,26151
-0.007805433,99,26244
-0.007524303,94,26343
-0.007795393,95,26430
-0.007996201,98,26523
-0.007413859,96,26616
-0.007263255,98,26727
-0.007845595,95,26802
-0.007544384,96,26895
-0.007303416,98,26988
-0.007303416,96,27080
-0.00743394,98,27182
-0.007855635,96,27266
-0.007614666,97,27359
-0.007253214,97,27452
-0.007383739,91,27545
-0.007002205,98,27638
-0.007443981,97,27744
-0.007795393,97,27824
-0.007795393,96,27917
-0.007624707,101,28018
-0.007966079,94,28103
-0.007835554,94,28196
-0.007815474,96,28289
-0.008307451,95,28382
-0.007694989,96,28475
-0.007664868,94,28568
-0.007875715,96,28661
-0.007725111,97,28772
-0.007925917,96,28847
-0.007534344,96,28939
-0.007614666,95,29032
-0.007654828,94,29125
-0.007363658,96,29218
-0.007253214,96,29311
-0.007504222,95,29404
-0.007624707,98,29497
-0.007454021,96,29599
-0.007594586,98,29683
-0.007443981,93,29794
-0.007865676,95,29869
-0.007996201,98,29962
-0.007674909,96,30055
-0.007514263,94,30148
-0.007524303,96,30241
-0.007956038,99,30334
-0.007544384,95,30427
-0.00771507,96,30519
-0.007885756,95,30612
-0.007795393,93,30705
-0.007895797,93,30816
-0.007775312,97,30891
-0.007554424,94,30984
-0.007233133,94,31077
-0.007514263,100,31170
-0.007775312,97,31263
-0.007996201,94,31356
-0.008076523,97,31449
-0.007935958,99,31542
-0.007413859,95,31635
-0.007443981,98,31728
-0.007524303,97,31839
-0.007905837,97,31914
-0.008066483,95,32007
-0.008086563,95,32100
-0.007684949,97,32193
-0.007795393,96,32286
-0.007795393,92,32379
-0.007604626,95,32472
-0.007574505,94,32564
-0.007634747,96,32657
-0.007755232,95,32750
-0.00771507,97,32861
-0.008227128,97,32936
-0.008076523,97,33029
-0.007644787,94,33122
-0.007564464,95,33215
-0.007735151,96,33308
-0.007634747,95,33401
-0.007935958,98,33494
-0.007564464,93,33587
-0.007594586,95,33680
-0.007945999,96,33773
-0.007785353,95,33884
-0.00770503,93,33959
-0.007775312,94,34053
-0.008036361,94,34145
-0.007945999,93,34238
-0.00740382,96,34331
-0.007122689,95,34424
-0.007002205,97,34517
-0.007363658,96,34610
-0.007233133,95,34703
-0.007514263,96,34796
-0.007393779,95,34907
-0.007263255,94,34981
-0.00771507,91,35074
-0.007544384,94,35167
-0.00740382,96,35260
-0.007564464,96,35353
-0.007674909,95,35446
-0.007604626,92,35539
-0.007484141,96,35635
-0.007574505,95,35725
-0.007735151,96,35818
-0.007725111,96,35929
-0.007755232,95,36004
-0.007373698,96,36097
-0.007283335,95,36190
-0.007614666,93,36283
-0.007564464,94,36376
-0.007795393,92,36474
-0.007484141,94,36562
-0.007012245,96,36654
-0.007082528,95,36747
-0.007664868,94,36840
-0.007644787,99,36951
-0.007504222,94,37026
-0.00770503,95,37119
-0.007785353,98,37212
-0.007684949,100,37318
-0.007353617,92,37398
-0.00714277,93,37491
-0.007343577,94,37584
-0.007323497,95,37677
-0.007594586,95,37770
-0.007644787,93,37863
-0.00740382,95,37974
-0.007393779,94,38049
-0.007674909,93,38142
-0.007564464,93,38235
-0.007725111,94,38327
-0.007373698,90,38420
-0.007042366,98,38513
-0.00715281,90,38606
-0.007373698,92,38699
-0.007373698,92,38792
-0.00770503,95,38895
-0.007584545,93,39014
-0.007694989,93,39071
-0.007514263,95,39164
-0.007263255,94,39257
-0.007102609,95,39350
-0.007333536,94,39443
-0.007343577,93,39536
-0.007554424,96,39629
-0.007644787,92,39722
-0.008026321,95,39815
-0.007905837,95,39908
-0.007735151,94,40019
-0.007674909,93,40094
-0.007524303,95,40186
-0.007283335,95,40279
-0.007564464,95,40372
-0.007454021,95,40465
-0.007323497,94,40558
-0.007504222,96,40651
-0.007614666,95,40744
-0.007363658,94,40837
-0.007584545,95,40930
-0.007805433,93,41041
-0.008327532,92,41116
-0.008016281,96,41209
-0.008076523,94,41302
-0.007885756,94,41395
-0.007775312,95,41488
-0.008066483,92,41581
-0.008176927,95,41674
-0.007664868,93,41767
-0.007885756,94,41860
-0.007674909,94,41953
-0.007795393,94,42064
-0.008026321,94,42139
-0.007785353,92,42231
-0.007544384,95,42324
-0.007534344,93,42417
-0.007534344,93,42510
-0.007986159,92,42603
-0.008086563,96,42696
-0.007413859,94,42789
-0.007423901,95,42882
-0.007815474,91,42975
-0.007895797,92,43086
-0.007925917,92,43161
-0.007684949,92,43254
-0.007785353,93,43354
-0.00771507,94,43440
-0.007544384,93,43533
-0.007694989,96,43626
-0.008046402,91,43719
-0.00771507,94,43812
-0.007333536,93,43905
-0.007514263,94,43998
-0.007956038,94,44109
-0.007855635,94,44194
-0.007745191,94,44277
-0.007584545,94,44370
-0.007674909,93,44463
-0.007524303,93,44555
-0.007464062,92,44648
-0.007554424,94,44741
-0.007634747,93,44834
-0.007614666,93,44932
-0.007935958,95,45020
-0.008146806,94,45131
-0.008186967,92,45206
-0.007584545,96,45299
-0.007584545,94,45392
-0.007875715,96,45485
-0.007966079,91,45578
-0.007735151,90,45671
-0.00771507,94,45775
-0.007825515,94,45857
-0.007363658,92,45950
-0.00743394,91,46043
-0.007544384,94,46154
-0.007624707,88,46229
-0.008186967,94,46322
-0.007945999,91,46415
-0.007785353,94,46508
-0.007694989,93,46600
-0.007805433,93,46693
-0.007885756,90,46786
-0.007755232,93,46879
-0.007624707,94,46972
-0.007684949,90,47065
-0.007664868,92,47176
-0.007243174,92,47251
-0.007022285,95,47344
-0.00740382,91,47437
-0.007654828,91,47530
-0.007644787,93,47623
-0.007554424,91,47716
-0.007915877,94,47809
-0.007905837,92,47902
-0.00770503,90,47995
-0.007122689,90,48088
-0.007283335,93,48198
-0.007524303,92,48273
-0.007504222,94,48366
-0.007574505,89,48459
-0.007534344,91,48552
-0.007373698,92,48645
-0.007584545,96,48738
-0.007725111,86,48831
-0.007514263,91,48924
-0.007423901,90,49017
-0.007373698,89,49110
-0.007413859,91,49221
-0.007353617,93,49296
-0.007353617,92,49389
-0.007674909,94,49482
-0.007765272,93,49575
-0.007895797,93,49668
-0.007966079,90,49761
-0.007895797,91,49854
-0.007885756,90,49947
-0.008046402,89,50040
-0.007835554,94,50133
-0.007464062,90,50244
-0.007694989,94,50319
-0.007574505,91,50412
-0.007855635,90,50505
-0.007694989,89,50597
-0.00771507,94,50691
-0.007644787,95,50783
-0.007192972,91,50876
-0.006982124,89,50969
-0.007233133,89,51062
-0.007454021,90,51155
-0.007343577,92,51266
-0.007534344,94,51341
-0.007423901,92,51434
-0.007775312,93,51527
-0.008016281,94,51620
-0.008096604,92,51713
-0.007624707,92,51807
-0.007484141,91,51899
-0.007373698,92,51992
-0.007825515,90,52085
-0.008156845,94,52178
-0.008207047,91,52312
-0.007694989,92,52364
-0.007725111,92,52457
-0.008417895,92,52550
-0.008337572,92,52643
-0.007915877,91,52736
-0.007855635,92,52828
-0.008036361,93,52922
-0.007815474,92,53014
-0.007263255,90,53107
-0.007162851,91,53200
-0.007122689,91,53311
-0.007504222,92,53386
-0.008237168,89,53479
-0.007956038,90,53572
-0.007654828,90,53665
-0.007845595,94,53759
-0.007825515,91,53851
-0.007684949,91,53944
-0.007895797,92,54037
-0.008136765,89,54130
-0.007956038,92,54223
-0.007634747,89,54357
-0.007875715,90,54409
-0.008116684,90,54502
-0.007604626,90,54595
-0.007735151,86,54688
-0.007855635,95,54781
-0.007785353,92,54874
-0.007865676,92,54967
-0.007795393,91,55060
-0.007574505,85,55152
-0.007574505,91,55245
-0.007373698,88,55356
-0.007795393,88,55431
-0.008347612,92,55524
-0.007604626,87,55617
-0.00715281,91,55712
-0.007273295,92,55803
-0.007534344,90,55896
-0.007765272,87,55989
-0.007785353,91,56082
-0.008046402,88,56175
-0.007584545,88,56268
-0.007413859,91,56386
-0.007644787,90,56454
-0.007494182,87,56556
-0.007313456,86,56640
-0.007524303,90,56733
-0.007845595,89,56826
-0.007735151,91,56919
-0.008066483,90,57012
-0.00771507,89,57105
-0.007765272,91,57198
-0.007283335,90,57294
-0.006941963,87,57405
-0.007223093,92,57476
-0.007775312,90,57569
-0.007775312,91,57662
-0.007624707,89,57755
-0.007956038,89,57848
-0.008056442,91,57941
-0.007925917,88,58034
-0.007674909,89,58133
-0.007694989,86,58220
-0.007504222,90,58313
-0.007644787,89,58424
-0.007755232,93,58499
-0.007564464,91,58592
-0.007996201,90,58685
-0.008036361,89,58778
-0.007634747,89,58871
-0.007464062,91,58977
-0.007755232,89,59057
-0.007574505,87,59150
-0.007574505,87,59243
-0.007925917,91,59336
-0.008026321,88,59447
-0.00800624,93,59522
-0.007735151,90,59615
-0.007474101,93,59708
-0.007845595,89,59800
-0.008337572,91,59893
-0.008427935,90,59986
-0.008237168,94,60079
-0.007956038,90,60172
-0.007865676,90,60265
-0.007594586,90,60358
-0.007524303,91,60469
-0.007785353,87,60544
-0.007996201,90,60637
-0.007674909,89,60730
-0.00771507,90,60823
-0.007564464,88,60916
-0.007443981,90,61009
-0.007423901,88,61102
-0.007313456,88,61195
-0.007634747,89,61288
-0.007694989,89,61381
-0.008176927,90,61505
-0.008086563,90,61567
-0.007905837,87,61660
-0.00770503,89,61753
-0.007423901,85,61845
-0.007825515,90,61938
-0.008086563,87,62031
-0.007624707,91,62124
-0.007494182,91,62217
-0.007333536,87,62310
-0.007112649,90,62403
-0.00715281,90,62514
-0.007303416,88,62589
-0.007313456,93,62682
-0.007504222,88,62775
-0.00740382,91,62868
-0.007554424,90,62961
-0.007915877,89,63054
-0.007514263,87,63147
-0.007333536,86,63240
-0.007986159,87,63333
-0.007684949,88,63426
-0.007213053,87,63537
-0.007423901,87,63612
-0.007333536,91,63705
-0.007514263,88,63798
-0.007785353,87,63891
-0.007775312,90,63984
-0.007484141,86,64077
-0.007323497,88,64170
-0.007915877,89,64263
-0.007966079,90,64356
-0.007945999,85,64449
-0.007915877,89,64560
-0.007725111,90,64634
-0.008096604,87,64727
-0.008106644,90,64820
-0.007544384,86,64913
-0.007544384,89,65013
-0.007343577,89,65099
-0.007243174,88,65192
-0.007775312,88,65285
-0.007895797,86,65378
-0.007895797,90,65471
-0.008036361,89,65582
-0.007945999,86,65657
-0.007654828,88,65750
-0.007192972,89,65853
-0.007122689,88,65936
-0.007544384,87,66029
-0.008217088,87,66122
-0.008126724,85,66215
-0.007383739,88,66308
-0.007082528,87,66400
-0.007203012,86,66493
-0.007584545,88,66604
-0.007664868,90,66692
-0.007996201,87,66772
-0.008096604,83,66865
-0.007775312,86,66958
-0.007594586,88,67051
-0.00800624,87,67144
-0.007735151,87,67237
-0.007855635,86,67330
-0.007925917,83,67434
-0.007895797,88,67516
-0.007765272,88,67627
-0.007735151,86,67702
-0.007925917,89,67795
-0.008106644,88,67888
-0.007966079,89,67981
-0.007544384,91,68074
-0.007464062,89,68167
-0.007735151,85,68273
-0.007835554,87,68352
-0.008086563,88,68445
-0.008096604,91,68538
-0.008056442,91,68649
-0.008387774,88,68724
-0.008437976,89,68817
-0.007895797,87,68910
-0.007383739,88,69003
-0.007905837,88,69096
-0.007725111,84,69189
-0.007323497,89,69282
-0.007614666,86,69375
-0.008186967,88,69468
-0.008136765,84,69561
-0.007243174,87,69672
-0.007845595,84,69747
-0.008126724,87,69840
-0.008026321,87,69933
-0.007293375,86,70026
-0.007624707,89,70119
-0.007925917,90,70211
-0.007594586,86,70304
-0.007624707,86,70397
-0.007925917,86,70490
-0.008126724,89,70583
-0.007815474,85,70694
-0.007674909,90,70769
-0.007614666,86,70862
-0.008076523,87,70955
-0.008186967,90,71048
-0.007835554,87,71141
-0.00797612,85,71234
-0.00797612,88,71327
-0.007564464,85,71420
-0.007423901,87,71513
-0.008126724,87,71606
-0.007945999,89,71717
-0.007333536,85,71792
-0.007464062,86,71888
-0.007745191,87,71977
-0.00743394,84,72070
-0.007162851,87,72163
-0.007574505,86,72256
-0.007283335,86,72349
-0.007032326,87,72442
-0.007233133,87,72535
-0.007664868,86,72628
-0.007664868,89,72739
-0.007725111,85,72814
-0.007865676,84,72907
-0.007775312,89,73000
-0.007443981,85,73093
-0.007223093,86,73186
-0.007604626,84,73279
-0.007514263,87,73372
-0.007925917,84,73466
-0.007795393,86,73557
-0.007986159,88,73650
-0.007905837,85,73784
-0.007815474,78,73841
-0.007915877,89,73929
-0.00770503,84,74022
-0.007674909,88,74115
-0.007865676,84,74208
-0.008448016,86,74301
-0.00797612,86,74394
-0.007464062,88,74487
-0.007162851,84,74580
-0.007032326,87,74673
-0.007423901,87,74779
-0.007935958,85,74859
-0.007735151,86,74952
-0.007674909,83,75045
-0.008076523,83,75138
-0.007845595,86,75230
-0.007393779,86,75323
-0.007454021,86,75416
-0.007544384,85,75509
-0.007353617,88,75602
-0.007393779,86,75695
-0.007594586,83,75806
-0.007544384,87,75881
-0.007584545,85,75974
-0.007825515,85,76067
-0.007544384,86,76160
-0.007333536,88,76258
-0.007594586,87,76346
-0.007223093,84,76439
-0.007634747,86,76532
-0.007795393,86,76625
-0.007413859,85,76718
-0.007363658,85,76829
-0.007293375,88,76904
-0.007122689,87,76997
-0.007223093,88,77097
-0.007253214,89,77182
-0.007333536,83,77275
-0.007624707,78,77368
-0.007504222,81,77461
-0.007524303,83,77554
-0.008126724,85,77647
-0.008086563,84,77740
-0.007986159,83,77851
-0.007855635,85,77936
-0.007464062,86,78019
-0.007855635,86,78112
-0.007835554,86,78205
-0.007614666,86,78298
-0.007925917,86,78391
-0.008086563,87,78484
-0.007956038,87,78577
-0.007564464,84,78679
-0.007223093,87,78763
-0.007514263,87,78874
-0.007664868,86,78949
-0.007634747,87,79042
-0.007454021,86,79135
-0.00771507,86,79228
-0.007454021,83,79320
-0.007845595,85,79413
-0.007835554,85,79519
-0.007584545,83,79599
-0.007614666,85,79692
-0.007795393,79,79785
-0.007584545,88,79896
-0.006891761,82,79971
-0.007172891,86,80064
-0.008096604,86,80157
-0.008156845,86,80250
-0.008176927,86,80343
-0.008046402,86,80436
-0.007735151,83,80529
-0.007855635,84,80622
-0.007855635,86,80715
-0.007614666,83,80808
-0.007654828,86,80919
-0.00797612,87,80994
-0.008036361,85,81087
-0.007825515,84,81179
-0.008016281,85,81272
-0.008066483,84,81365
-0.007805433,83,81458
-0.007725111,83,81551
-0.007755232,84,81644
-0.007875715,81,81737
-0.007986159,82,81830
-0.007835554,87,81964
-0.007293375,86,82016
-0.007383739,83,82109
