Force(N),Distance(mm),Time(ms)
-0.009773343,103,181
-0.009512293,102,251
-0.01024524,99,344
-0.01040588,102,437
-0.01012475,102,530
-0.01054645,102,623
-0.01047617,103,716
-0.009883786,102,809
-0.01008459,102,902
-0.01017496,101,995
-0.01015488,101,1088
-0.01044605,101,1199
-0.01001431,102,1274
-0.01020508,102,1367
-0.0102854,102,1460
-0.01027536,101,1553
-0.01026532,102,1646
-0.009933989,101,1739
-0.01011472,103,1832
-0.01032556,103,1925
-0.00999423,101,2018
-0.009482172,102,2111
-0.009662897,103,2222
-0.01004443,101,2297
-0.01099827,98,2390
-0.01050629,103,2483
-0.01043601,102,2581
-0.01026532,100,2669
-0.01015488,100,2762
-0.009974151,103,2855
-0.009652859,104,2948
-0.01042597,101,3041
-0.01048621,97,3134
-0.01009463,102,3245
-0.01004443,100,3320
-0.01002435,98,3420
-0.01032556,102,3506
-0.01059665,102,3599
-0.01024524,101,3692
-0.01005447,103,3785
-0.01016492,99,3878
-0.01013479,98,3971
-0.01004443,100,4064
-0.009843625,103,4157
-0.01027536,103,4268
-0.01021512,103,4343
-0.01007455,100,4436
-0.009843625,97,4529
-0.009723141,99,4622
-0.01015488,100,4715
-0.0102352,101,4808
-0.01047617,100,4901
-0.01024524,100,5000
-0.01017496,98,5087
-0.009984189,102,5180
-0.01025528,100,5281
-0.01034564,99,5366
-0.01043601,96,5459
-0.01073722,100,5552
-0.01072718,101,5645
-0.01044605,101,5738
-0.01001431,100,5831
-0.01009463,99,5924
-0.01044605,101,6017
-0.01011472,102,6110
-0.009733182,99,6203
-0.009853666,103,6337
-0.01032556,101,6389
-0.0108075,101,6482
-0.01064685,99,6575
-0.009863705,100,6668
-0.009923948,101,6761
-0.01034564,97,6854
-0.01056653,98,6947
-0.0103356,96,7040
-0.01005447,99,7133
-0.009913907,101,7226
-0.009923948,102,7337
-0.0103356,98,7412
-0.01057657,104,7505
-0.01043601,99,7598
-0.01046613,100,7691
-0.01024524,96,7784
-0.01009463,98,7877
-0.01013479,99,7970
-0.01014484,101,8063
-0.009944028,98,8156
-0.009873747,102,8249
-0.01003439,101,8373
-0.01043601,96,8435
-0.01032556,103,8528
-0.01019504,101,8621
-0.009903867,101,8714
-0.00968298,100,8807
-0.00968298,100,8900
-0.01015488,102,8993
-0.01027536,103,9086
-0.009763302,99,9179
-0.009743221,100,9272
-0.009612698,102,9406
-0.009783382,97,9458
-0.009933989,99,9551
-0.01002435,97,9644
-0.01019504,99,9737
-0.009763302,99,9830
-0.01025528,100,9923
-0.009964109,99,10016
-0.01000427,101,10109
-0.00999423,99,10202
-0.01003439,97,10295
-0.009843625,101,10396
-0.009773343,100,10481
-0.01015488,97,10574
-0.01043601,97,10667
-0.01042597,98,10760
-0.01049625,98,10853
-0.01073722,96,10946
-0.01000427,99,11052
-0.01009463,101,11132
-0.01006451,101,11225
-0.01010467,98,11318
-0.01020508,101,11436
-0.01043601,98,11504
-0.01034564,97,11597
-0.01029544,96,11690
-0.01005447,98,11783
