Force(N),Distance(mm),Time(ms)
-0.00657047,101,107
-0.006821479,102,146
-0.006630712,102,204
-0.006439945,105,297
-0.005817443,102,390
-0.005787323,103,483
-0.006239138,103,576
-0.006269259,103,669
-0.006209017,100,762
-0.005757201,99,854
-0.005636717,99,947
-0.006520268,101,1040
-0.006610631,99,1147
-0.006178896,102,1226
-0.006249179,102,1319
-0.006530309,100,1412
-0.006731115,97,1505
-0.006670873,97,1598
-0.006359622,102,1691
-0.006229098,100,1784
-0.006369663,103,1877
-0.006269259,104,1970
-0.006108613,100,2063
-0.006118654,102,2214
-0.00629938,101,2253
-0.006309421,100,2341
-0.006379703,99,2434
-0.006319461,102,2527
-0.006249179,106,2620
-0.006520268,104,2713
-0.006409824,101,2806
-0.006600591,103,2899
-0.006600591,102,2992
-0.005907807,102,3085
-0.005958008,100,3214
-0.006931922,99,3271
-0.00713273,97,3364
-0.006821479,100,3457
-0.006319461,102,3563
-0.006399784,103,3643
-0.006480107,99,3735
-0.006389744,99,3828
-0.006359622,102,3921
-0.006028291,98,4014
-0.006148775,102,4107
-0.006158815,98,4237
-0.006178896,98,4293
-0.006419864,104,4386
-0.006901801,100,4479
-0.006680914,103,4572
-0.006379703,103,4672
-0.006520268,99,4758
-0.005978089,102,4851
-0.006239138,103,4944
-0.006530309,101,5036
-0.00657047,99,5129
-0.006349582,101,5259
-0.006460026,100,5315
-0.006630712,99,5408
-0.006319461,100,5501
-0.005968049,104,5594
-0.006108613,99,5687
-0.006660833,98,5780
-0.006399784,103,5873
-0.006229098,103,5966
-0.00600821,98,6059
-0.006660833,101,6152
-0.007022285,102,6258
-0.007092568,100,6338
-0.006419864,101,6431
-0.006309421,98,6523
-0.006259218,99,6616
-0.006349582,99,6709
-0.006490147,101,6802
-0.006229098,101,6895
-0.006881721,102,6988
-0.006781317,102,7081
-0.006590551,102,7174
-0.006148775,101,7303
-0.006369663,99,7360
-0.006761236,100,7453
-0.007203012,104,7546
-0.00687168,101,7639
-0.006891761,103,7732
-0.006982124,101,7824
-0.006801398,101,7917
-0.006931922,104,8011
-0.006711035,104,8103
-0.006610631,103,8209
-0.006379703,101,8339
-0.006540349,103,8382
-0.006670873,100,8475
-0.006480107,100,8577
-0.006530309,100,8661
-0.006640753,101,8754
-0.006801398,100,8847
-0.006470066,102,8940
-0.006470066,99,9033
-0.006771277,103,9126
-0.00713273,101,9219
-0.006470066,102,9325
-0.006188936,98,9417
-0.006429905,99,9497
-0.00629938,102,9590
-0.006520268,100,9683
