Force(N),Distance(mm),Time(ms)
-0.0108075,105,195
-0.01015488,102,257
-0.01002435,101,341
-0.0103858,102,434
-0.01093802,101,527
-0.01063681,103,620
-0.01030548,101,713
-0.01013479,105,806
-0.01037576,100,899
-0.01049625,106,994
-0.01009463,101,1085
-0.01049625,105,1195
-0.01070709,104,1271
-0.01039584,102,1364
-0.01084766,100,1457
-0.01079746,104,1549
-0.01063681,101,1642
-0.01109867,99,1735
-0.01092798,102,1833
-0.01093802,102,1921
-0.01097818,102,2014
-0.01091794,101,2107
-0.01059665,101,2218
-0.01027536,101,2293
-0.01072718,99,2386
-0.01061673,99,2479
-0.01019504,98,2572
-0.01031552,100,2676
-0.01057657,101,2758
-0.01083762,100,2851
-0.01049625,102,2944
-0.009903867,100,3037
-0.01047617,101,3130
-0.01061673,100,3240
-0.01098822,99,3316
-0.01072718,103,3409
-0.01103843,99,3515
-0.01122919,95,3595
-0.0108577,101,3688
-0.01068702,99,3781
-0.01097818,102,3874
-0.01058661,102,3967
-0.0107573,102,4060
-0.01044605,98,4152
-0.01005447,98,4263
-0.01063681,102,4338
-0.01117899,101,4431
-0.01111875,101,4524
-0.01106855,102,4617
-0.0107573,101,4710
-0.01048621,97,4803
-0.01063681,101,4896
-0.01071714,101,4989
-0.0107573,99,5094
-0.01067697,99,5175
-0.01047617,100,5286
-0.01056653,100,5361
-0.01061673,102,5454
-0.01067697,102,5547
-0.01034564,100,5640
-0.01024524,101,5733
-0.01045609,99,5826
-0.01076734,100,5932
-0.0107573,100,6012
-0.01072718,99,6105
-0.01060669,101,6198
-0.01069705,100,6308
-0.01040588,99,6384
-0.01078742,103,6477
-0.01066693,103,6570
-0.0102854,101,6663
-0.01057657,97,6756
-0.01053641,101,6849
-0.01059665,101,6942
-0.0107573,96,7035
-0.01079746,103,7128
-0.01078742,98,7221
-0.01103843,99,7331
-0.01096814,99,7406
-0.01088782,98,7499
-0.01061673,103,7592
-0.01055649,102,7685
-0.01054645,99,7778
-0.01042597,97,7871
-0.01001431,98,7964
-0.01040588,100,8057
-0.01078742,98,8150
-0.01034564,98,8243
-0.0102854,101,8354
-0.01063681,100,8429
-0.0109581,100,8522
-0.01106855,96,8615
-0.01060669,102,8708
-0.01062677,98,8801
-0.01039584,101,8894
-0.01048621,101,8987
-0.01071714,101,9080
-0.01057657,99,9173
-0.01036572,101,9266
-0.01034564,97,9385
-0.01035568,99,9452
-0.01077738,98,9545
-0.01060669,97,9638
-0.01017496,98,9731
-0.01021512,98,9824
-0.01069705,99,9917
-0.01081754,99,10010
-0.01078742,101,10103
-0.01055649,97,10196
-0.01054645,97,10289
-0.01060669,99,10399
-0.01043601,99,10474
-0.01059665,98,10568
-0.01051633,96,10661
-0.01054645,98,10754
-0.01037576,103,10846
-0.01011472,98,10939
-0.01062677,98,11032
-0.01086774,98,11125
-0.01068702,100,11218
-0.01048621,101,11311
-0.01052637,98,11422
-0.01076734,101,11497
-0.01122919,98,11590
-0.01072718,99,11683
-0.01055649,99,11776
-0.01087778,96,11869
-0.01049625,99,11962
-0.01008459,101,12055
-0.01060669,98,12148
-0.01086774,98,12241
-0.01062677,99,12334
-0.01048621,100,12445
-0.01102839,99,12520
-0.01110871,98,12613
-0.01088782,100,12706
-0.01076734,99,12800
-0.01107859,96,12892
-0.01063681,98,12985
-0.01049625,98,13078
-0.01078742,98,13171
-0.01054645,98,13264
-0.0103356,98,13357
-0.01046613,95,13468
-0.01083762,98,13543
