Force(N),Distance(mm),Time(ms)
-0.01065689,102,207
-0.01011472,102,276
-0.009773343,101,369
-0.01026532,104,462
-0.0108075,102,555
-0.01042597,103,648
-0.01036572,103,741
-0.01041592,101,834
-0.01066693,100,927
-0.0107573,102,1020
-0.01092798,101,1130
-0.01047617,101,1206
-0.0102854,104,1299
-0.01025528,101,1392
-0.01050629,103,1485
-0.0103356,99,1578
-0.01042597,105,1671
-0.01054645,101,1764
-0.01054645,102,1857
-0.01064685,101,1950
-0.01082758,106,2043
-0.01086774,102,2153
-0.01087778,100,2229
-0.01062677,101,2322
-0.01081754,101,2421
-0.01073722,101,2508
-0.01008459,99,2601
-0.01024524,100,2694
-0.01077738,98,2787
-0.01076734,101,2880
-0.01084766,99,2973
-0.01074726,102,3066
-0.01047617,101,3176
-0.01029544,101,3259
-0.010185,104,3345
-0.01017496,98,3438
-0.01105851,103,3531
-0.01164085,100,3624
-0.01128944,102,3717
-0.01089786,101,3810
-0.01059665,100,3902
-0.01029544,99,3996
-0.01051633,103,4089
-0.01043601,98,4199
-0.01079746,101,4275
-0.01078742,102,4368
-0.01091794,100,4461
-0.01074726,101,4554
-0.010185,100,4647
-0.01016492,98,4740
-0.01040588,103,4839
-0.01029544,98,4926
-0.01055649,105,5018
-0.01078742,101,5112
-0.01065689,98,5222
-0.01043601,98,5297
-0.01051633,103,5390
-0.01088782,101,5484
-0.01109867,100,5576
-0.01112879,96,5678
-0.01098822,98,5762
-0.0112794,98,5855
-0.01116895,99,5948
-0.01073722,99,6041
-0.01066693,98,6134
-0.01070709,100,6245
-0.01063681,98,6320
-0.0103356,99,6413
-0.01021512,98,6516
-0.01093802,101,6599
-0.01068702,100,6692
-0.01045609,102,6785
-0.01084766,102,6878
-0.01093802,98,6971
-0.01107859,97,7064
-0.01076734,101,7157
-0.01071714,100,7268
-0.01067697,99,7343
-0.01045609,100,7436
-0.01026532,97,7529
-0.01037576,101,7622
-0.01055649,99,7715
-0.01031552,101,7808
-0.01081754,98,7901
-0.01087778,100,7994
-0.0108075,102,8096
-0.01060669,99,8180
-0.01042597,100,8291
-0.01074726,98,8366
-0.01082758,99,8459
-0.01069705,98,8552
-0.01021512,100,8645
-0.0102352,100,8738
-0.0107573,102,8831
-0.01054645,102,8935
-0.01047617,100,9017
-0.01057657,100,9110
-0.01066693,100,9203
-0.01061673,102,9314
-0.01045609,100,9389
-0.01093802,98,9482
-0.01116895,98,9575
-0.01081754,101,9668
-0.01077738,99,9761
-0.01096814,96,9854
-0.01066693,102,9947
-0.0103356,99,10040
-0.01051633,97,10133
-0.01079746,97,10226
-0.01103843,95,10337
-0.01084766,99,10412
-0.01057657,101,10505
-0.01037576,98,10598
-0.01012475,98,10691
-0.0107573,96,10784
-0.01078742,99,10877
-0.01088782,98,10970
-0.01079746,98,11063
-0.0103356,99,11156
-0.01062677,98,11249
-0.01042597,96,11360
-0.01107859,98,11435
-0.0109079,95,11528
-0.01036572,98,11621
-0.01068702,97,11714
-0.01072718,97,11807
-0.01056653,98,11900
-0.01052637,97,11993
-0.01053641,95,12086
-0.01056653,99,12179
-0.01040588,97,12272
-0.01087778,97,12383
-0.0108577,96,12458
-0.01089786,96,12551
-0.01053641,98,12644
-0.0102854,98,12737
-0.01056653,100,12830
-0.01050629,95,12923
-0.01045609,94,13016
-0.01062677,96,13109
-0.01109867,99,13202
-0.01076734,95,13295
-0.01074726,98,13406
-0.01120911,97,13481
-0.01096814,96,13574
-0.01061673,99,13667
-0.01017496,97,13760
-0.0102352,98,13853
-0.01015488,98,13946
-0.01047617,92,14039
-0.01052637,97,14132
-0.01052637,98,14225
-0.01004443,93,14318
-0.01024524,96,14419
-0.01083762,96,14504
-0.01034564,94,14597
-0.01048621,100,14690
-0.01064685,96,14783
-0.01069705,95,14876
-0.0108075,98,14969
-0.01077738,99,15062
-0.0109581,96,15155
-0.0108075,98,15248
-0.01063681,99,15341
-0.01079746,95,15452
-0.01074726,94,15527
-0.01049625,97,15620
-0.01043601,94,15713
-0.01037576,95,15806
-0.01021512,96,15899
-0.01024524,96,15992
-0.01069705,98,16085
-0.01019504,95,16178
-0.01004443,98,16271
-0.009984189,94,16364
-0.01072718,94,16466
-0.01084766,92,16550
-0.01030548,94,16643
-0.01031552,95,16736
-0.01022516,98,16829
-0.01026532,95,16922
-0.01077738,95,17015
-0.01049625,98,17116
-0.01005447,96,17201
-0.01048621,95,17294
-0.01091794,94,17387
-0.01064685,91,17498
-0.01058661,98,17573
-0.01012475,94,17666
-0.009984189,98,17759
-0.01031552,95,17852
-0.01070709,96,17955
-0.0108577,94,18038
-0.01081754,96,18131
-0.0107573,94,18224
-0.01070709,93,18317
-0.01064685,93,18410
-0.01076734,95,18527
-0.01070709,91,18596
-0.01065689,95,18689
-0.01045609,94,18782
-0.01082758,96,18875
-0.01086774,94,18968
-0.01053641,96,19061
-0.01039584,96,19154
-0.01045609,94,19247
-0.01043601,96,19340
-0.01051633,93,19433
-0.01049625,93,19544
-0.01040588,93,19619
-0.01064685,95,19712
-0.01047617,92,19805
-0.01068702,92,19898
-0.01061673,95,19991
-0.01054645,90,20084
-0.01066693,94,20177
-0.01042597,95,20270
-0.01050629,96,20373
-0.01010467,93,20456
-0.01057657,94,20567
-0.01106855,96,20642
-0.01037576,95,20735
-0.01056653,96,20828
-0.01053641,92,20921
-0.0103858,95,21014
-0.01035568,95,21107
-0.01019504,94,21200
-0.01041592,95,21293
-0.01071714,92,21386
-0.01054645,93,21479
-0.01046613,93,21590
-0.01052637,91,21665
-0.01070709,92,21758
-0.01054645,96,21851
-0.01013479,93,21944
-0.01048621,90,22037
-0.01029544,92,22130
-0.01031552,93,22223
-0.01066693,94,22316
-0.01071714,93,22409
-0.01087778,93,22502
-0.01081754,92,22612
-0.01064685,94,22688
-0.01056653,91,22781
-0.01082758,94,22874
-0.01107859,92,22967
-0.01123923,92,23060
-0.01129948,92,23153
-0.01066693,95,23246
-0.01087778,90,23339
-0.01031552,93,23432
-0.01055649,94,23525
-0.0109079,93,23635
-0.01082758,93,23711
-0.01123923,93,23804
-0.01063681,92,23897
-0.01040588,96,23990
-0.01050629,93,24083
-0.01014484,94,24176
-0.0102854,91,24269
-0.01048621,94,24362
-0.01059665,92,24455
-0.01037576,93,24548
-0.01070709,91,24658
-0.0103356,92,24734
-0.01027536,90,24827
-0.01054645,91,24920
-0.01012475,93,25013
-0.01019504,91,25106
-0.01091794,93,25199
-0.01031552,94,25292
-0.01012475,91,25385
-0.01070709,92,25478
-0.01055649,91,25571
-0.01002435,89,25681
-0.01031552,91,25757
-0.01062677,93,25850
-0.01067697,90,25942
-0.01101835,93,26035
-0.01064685,91,26128
-0.0108075,87,26221
-0.01076734,94,26315
-0.01042597,90,26407
-0.01054645,93,26500
-0.01040588,93,26593
-0.01032556,88,26704
-0.01032556,90,26779
-0.01104847,90,26872
-0.01066693,90,26965
-0.01061673,89,27058
-0.01076734,90,27151
-0.01049625,86,27244
-0.01045609,93,27337
-0.01054645,89,27430
-0.01035568,91,27523
-0.01043601,92,27616
-0.01051633,93,27727
-0.0103858,89,27802
-0.01087778,90,27895
-0.01107859,89,27988
-0.01071714,88,28083
-0.01063681,90,28174
-0.0107573,92,28267
-0.01045609,91,28360
-0.01065689,89,28453
-0.01097818,92,28547
-0.01074726,90,28639
-0.01055649,90,28750
-0.01074726,90,28826
-0.01067697,90,28922
-0.01067697,89,29012
-0.01051633,89,29104
-0.01068702,87,29197
-0.01055649,91,29291
-0.01019504,90,29384
-0.01051633,89,29477
-0.01066693,91,29570
-0.01093802,89,29663
-0.01051633,88,29773
-0.0108075,89,29849
-0.01048621,91,29942
-0.0108577,92,30035
-0.01081754,90,30127
-0.01037576,90,30221
-0.01046613,93,30314
-0.01039584,88,30407
-0.01037576,87,30501
-0.0108075,93,30593
-0.01044605,88,30686
-0.01015488,88,30796
-0.01054645,87,30872
-0.01039584,92,30965
-0.01051633,90,31058
-0.01069705,90,31151
-0.01062677,91,31244
-0.01035568,87,31339
-0.01035568,88,31430
-0.01052637,89,31523
-0.010185,89,31616
-0.01049625,88,31709
-0.01069705,89,31819
-0.01068702,88,31895
-0.01070709,88,31988
-0.01037576,89,32081
-0.009723141,86,32182
-0.009843625,89,32267
-0.01042597,88,32360
-0.01053641,92,32453
-0.01065689,89,32546
-0.0108577,90,32639
-0.01057657,88,32732
-0.01025528,89,32842
-0.01002435,89,32918
-0.01032556,87,33021
-0.01046613,88,33104
-0.01071714,85,33197
-0.01060669,86,33290
-0.01062677,89,33383
