Force(N),Distance(mm),Time(ms)
-0.0002224566,101,406
-0.0004835058,99,503
0.000008471547,102,582
0.00005867332,100,675
-0.0002023759,101,767
-0.0004232636,101,860
-0.0004935461,96,953
-0.0001320934,100,1045
0.000420126,102,1157
0.0003197225,98,1231
0.0001791576,100,1324
0.00004863296,98,1416
0.0004100856,96,1509
0.0001289558,102,1602
-0.0001521741,100,1694
0.000219319,99,1787
0.0003598839,101,1880
-0.0002826987,98,1973
-0.0003529811,99,2065
-0.0003128197,99,2177
-0.0003630215,102,2251
0.0003398032,100,2343
0.0004402068,98,2436
0.0001490365,99,2529
0.000008471547,99,2622
-0.0001722548,98,2714
-0.00007185128,97,2808
-0.0001622145,99,2900
-0.0005035865,97,2992
0.00008879437,99,3085
-0.0001320934,100,3197
0.00007875402,100,3270
0.0001189154,96,3363
0.0002795611,97,3456
0.0005004489,97,3548
0.0004301663,100,3641
-0.0002324969,99,3734
0.000390005,101,3827
0.0004301663,96,3919
0.0000185119,100,4012
-0.0001722548,96,4105
0.0003096821,95,4216
-0.00002164951,101,4290
0.0002996418,98,4383
0.0005004489,97,4476
-0.0001019723,97,4568
0.0002494401,96,4661
0.0003398032,96,4754
0.0001189154,103,4850
-0.0001622145,98,4939
0.000008471547,99,5032
0.00008879437,95,5124
0.0001791576,97,5236
0.0002293593,99,5310
0.00002855226,98,5403
-0.0002324969,98,5495
-0.00006181093,99,5588
-0.000001568805,97,5681
0.0000185119,98,5773
-0.0001521741,97,5866
0.0004402068,94,5959
0.0003799646,101,6052
-0.0005537882,98,6144
-0.0002224566,99,6256
0.00009883472,98,6330
-0.0003329005,100,6422
-0.0002826987,99,6515
-0.0001923355,95,6608
0.0001088751,98,6701
0.0002293593,100,6793
-0.00008189163,97,6893
0.0004000453,98,6979
0.0001088751,95,7071
-0.0001019723,95,7164
0.00005867332,96,7275
-0.0001120127,97,7349
-0.0004031829,96,7442
-0.0003329005,97,7535
-0.00009193199,94,7627
0.0001791576,99,7720
0.000560691,98,7813
-0.00003168987,99,7906
-0.0002124162,94,7998
-0.0001622145,96,8091
0.0001088751,98,8184
0.000219319,95,8295
0.0002494401,96,8369
0.0002494401,98,8462
-0.0003529811,95,8554
-0.0005638286,100,8647
-0.00004173022,98,8740
0.0002695208,94,8833
0.0003197225,94,8930
0.00005867332,96,9018
-0.0001320934,95,9111
-0.0005035865,97,9203
0.00005867332,94,9315
0.0003498435,96,9389
0.0002494401,99,9481
-0.000292739,94,9574
-0.0002826987,97,9667
-0.00006181093,93,9760
-0.0001622145,99,9852
-0.0003630215,98,9945
-0.0003429408,96,10038
-0.0004232636,94,10130
-0.0001822952,96,10223
0.0002393997,98,10335
0.000390005,96,10408
0.0002393997,96,10501
0.0002494401,98,10594
-0.0001923355,98,10687
-0.0005638286,96,10779
-0.0006541917,97,10872
-0.0002324969,98,10973
0.000008471547,94,11057
0.0002594804,95,11150
0.0004703278,98,11243
0.0001590769,95,11355
-0.0002124162,97,11428
-0.0003329005,96,11521
0.00005867332,95,11614
0.00005867332,92,11706
0.0001389961,96,11799
0.00004863296,96,11892
-0.0006240707,95,11985
-0.0004835058,98,12077
0.00003859261,93,12170
0.0002996418,95,12263
-0.00003168987,93,12374
-0.000262618,96,12448
0.0001389961,94,12541
-0.00001160916,94,12634
-0.00008189163,93,12726
0.00003859261,93,12819
0.0001590769,93,12912
-0.0006240707,95,13015
-0.0002324969,95,13097
0.0001891979,93,13190
0.0001791576,96,13283
-0.0001822952,96,13402
-0.0005738688,93,13468
-0.00004173022,91,13561
0.0001691172,95,13654
0.0004000453,97,13746
0.0002896014,91,13839
0.0001691172,96,13932
0.0002795611,95,14024
0.00005867332,89,14117
0.0001490365,97,14210
0.0003297628,91,14302
0.00002855226,94,14414
-0.0004433444,92,14488
-0.0001622145,94,14581
-0.0003228601,93,14673
0.0001088751,96,14766
0.0003799646,94,14859
0.0003398032,92,14952
-0.00003168987,95,15058
-0.0005839093,92,15137
-0.0005738688,94,15230
-0.00004173022,90,15322
-0.000122053,95,15420
0.0000185119,94,15508
-0.00001160916,93,15601
-0.0001521741,92,15693
-0.0002324969,94,15786
0.0001691172,91,15879
0.0003598839,92,15971
0.0003297628,94,16064
0.00009883472,93,16157
0.0000185119,95,16250
0.0003699243,92,16342
0.0005807716,91,16454
-0.0001320934,93,16528
-0.0004533847,91,16620
-0.00007185128,94,16713
0.0002896014,92,16806
0.0002795611,91,16899
0.0002092786,89,16991
0.000008471547,95,17087
-0.000001568805,94,17177
-0.0002124162,93,17269
-0.0003730619,92,17362
-0.0001421337,96,17474
0.0001891979,92,17547
0.0005305699,90,17640
0.0003398032,94,17733
0.000390005,94,17826
0.000420126,93,17918
0.0001389961,93,18011
-0.0001521741,90,18104
-0.0003630215,90,18196
0.0001289558,94,18289
0.0002695208,91,18382
0.0002494401,92,18493
0.00008879437,96,18567
0.0002996418,94,18660
0.0003398032,92,18753
0.0003197225,92,18845
0.0001189154,90,18938
-0.00007185128,93,19031
0.0002293593,94,19129
0.00008879437,92,19216
-0.00005177057,91,19309
0.00008879437,92,19402
-0.0002726583,92,19513
-0.0003228601,91,19587
-0.0003027794,96,19680
0.00005867332,93,19773
-0.0001320934,92,19865
-0.0002324969,90,19958
0.0002594804,92,20051
-0.0002525776,90,20143
0.00002855226,91,20236
0.0001389961,91,20329
-0.0001822952,90,20421
-0.0003027794,92,20533
-0.0001320934,92,20607
0.0002092786,91,20699
0.0004904085,91,20792
0.000008471547,89,20885
-0.00009193199,91,20978
0.00003859261,91,21070
-0.0003128197,90,21171
0.00006871367,91,21256
0.0002594804,90,21348
0.00006871367,92,21441
0.0002293593,93,21553
0.0002494401,91,21627
0.0001088751,91,21719
-0.0001120127,92,21812
0.0000185119,90,21905
0.0007815787,93,21997
0.000219319,92,22090
-0.0002425373,91,22183
-0.0002525776,90,22276
-0.00007185128,92,22368
0.0004602875,88,22461
0.0005707313,92,22573
0.0002896014,91,22646
0.0001992382,90,22739
0.00006871367,90,22832
-0.0002525776,93,22924
-0.0002826987,91,23017
-0.00009193199,87,23110
0.0001791576,90,23213
0.0001992382,91,23295
0.0001389961,91,23388
0.0001590769,89,23481
-0.0005035865,90,23593
-0.0006441514,92,23666
-0.0003027794,92,23759
-0.00004173022,90,23852
0.0001691172,90,23944
0.00008879437,89,24037
-0.00005177057,92,24130
-0.0001019723,91,24222
-0.000292739,90,24315
0.0001590769,88,24408
0.0001891979,90,24501
0.00003859261,90,24612
0.0000185119,90,24686
-0.0003831022,88,24779
-0.0003630215,90,24871
0.00002855226,91,24964
0.0002393997,92,25057
0.0001791576,91,25149
-0.000433304,91,25255
-0.0001923355,91,25335
0.0004402068,89,25428
0.0001490365,85,25520
0.0004000453,87,25632
0.0002293593,90,25706
-0.00005177057,89,25798
-0.0001923355,88,25891
-0.0001722548,89,25984
-0.0001923355,89,26076
-0.000001568805,90,26169
0.0003096821,88,26262
0.0005004489,87,26355
0.0002795611,85,26447
-0.0001722548,88,26540
-0.0003730619,87,26651
-0.0004433444,87,26725
-0.0004734654,89,26818
