Force(N),Distance(mm),Time(ms)
-0.01046613,102,193
-0.01106855,102,232
-0.01122919,101,313
-0.01066693,103,406
-0.01063681,102,499
-0.01054645,102,592
-0.0107573,104,685
-0.01113883,99,785
-0.0108075,103,871
-0.01068702,102,964
-0.01048621,102,1057
-0.01016492,103,1168
-0.01015488,100,1243
-0.01021512,103,1336
-0.01021512,100,1429
-0.01051633,101,1522
-0.01081754,102,1624
-0.01061673,100,1708
-0.01036572,102,1801
-0.01052637,101,1894
-0.01072718,98,1987
-0.01098822,103,2080
-0.01081754,100,2186
-0.01053641,101,2266
-0.01064685,100,2359
-0.01057657,104,2462
-0.01037576,100,2545
-0.01011472,99,2638
-0.01014484,101,2731
-0.01025528,102,2824
-0.01052637,102,2916
-0.01058661,101,3009
-0.01044605,100,3103
-0.01052637,101,3213
-0.01059665,100,3301
-0.01016492,95,3381
-0.01012475,101,3474
-0.01016492,100,3567
-0.0103356,102,3660
-0.01034564,97,3753
-0.01011472,101,3846
-0.01027536,101,3939
-0.01058661,102,4038
-0.01049625,100,4125
-0.01060669,100,4236
-0.01009463,100,4311
-0.01006451,101,4404
-0.01037576,100,4497
-0.01065689,101,4590
-0.01055649,98,4683
-0.01058661,101,4776
-0.01040588,103,4880
-0.01051633,98,4962
-0.01060669,100,5055
-0.01058661,101,5148
-0.01069705,99,5259
-0.01065689,102,5334
-0.01063681,98,5427
-0.01058661,102,5520
-0.0108577,99,5613
-0.01069705,100,5719
-0.01073722,102,5799
-0.01032556,100,5892
-0.009893827,100,5985
-0.0102352,99,6078
-0.01039584,101,6171
-0.01037576,100,6282
-0.009964109,101,6357
-0.01002435,99,6450
-0.009803463,99,6556
-0.009954069,100,6636
-0.01042597,103,6729
-0.01050629,100,6822
-0.01059665,99,6915
-0.01068702,101,7008
-0.0103356,102,7101
-0.01046613,97,7194
-0.01051633,98,7305
-0.01060669,101,7380
-0.01003439,100,7473
-0.01001431,102,7566
-0.01025528,98,7659
-0.01097818,101,7752
-0.01098822,97,7845
-0.01093802,101,7938
-0.01064685,100,8031
-0.01055649,101,8137
-0.01050629,99,8217
-0.01054645,101,8328
-0.0108577,100,8403
-0.01056653,102,8496
-0.01043601,97,8589
-0.0102854,100,8682
-0.01029544,98,8775
-0.01059665,97,8868
-0.01076734,98,8975
-0.01061673,98,9054
-0.01100831,97,9147
-0.01069705,98,9240
-0.01042597,100,9351
-0.01077738,101,9426
-0.01101835,99,9519
-0.01066693,99,9612
-0.01013479,98,9705
-0.01013479,100,9798
-0.01064685,98,9891
-0.01027536,100,9984
-0.01002435,98,10077
-0.00999423,99,10170
-0.01013479,97,10263
-0.009974151,99,10374
-0.01057657,98,10449
-0.01071714,98,10542
-0.01036572,97,10635
-0.01055649,101,10728
-0.01037576,97,10821
-0.01013479,98,10914
-0.01034564,98,11007
-0.01013479,98,11100
-0.01045609,98,11193
-0.0109079,98,11286
-0.01039584,98,11397
-0.01071714,100,11472
-0.0103858,98,11566
-0.01022516,96,11658
-0.01070709,98,11751
-0.01049625,96,11844
-0.01030548,98,11937
-0.01035568,99,12030
-0.01070709,98,12123
-0.01052637,99,12216
-0.01048621,99,12309
-0.01059665,100,12420
-0.01054645,97,12495
-0.01029544,100,12589
-0.01043601,97,12681
-0.01072718,98,12774
-0.01092798,98,12868
-0.01037576,96,12961
-0.01044605,99,13054
-0.01062677,95,13147
-0.01079746,97,13240
-0.01060669,96,13333
-0.01065689,99,13443
-0.01054645,99,13519
-0.01053641,97,13612
-0.01003439,97,13705
-0.01005447,100,13798
-0.01047617,94,13891
-0.01009463,96,13984
-0.010185,94,14077
-0.01062677,95,14170
-0.0103356,96,14263
-0.01044605,98,14356
-0.01025528,95,14466
-0.009893827,99,14542
-0.01043601,97,14635
-0.0103858,101,14727
-0.01030548,97,14820
-0.01076734,98,14913
-0.01026532,95,15006
-0.01052637,97,15099
-0.01091794,98,15192
-0.01110871,96,15285
-0.01060669,94,15378
-0.01014484,97,15489
-0.01005447,98,15564
-0.01015488,97,15657
-0.01041592,95,15750
-0.01060669,96,15843
-0.01074726,94,15936
-0.0108577,97,16029
-0.01050629,95,16122
-0.01017496,95,16215
-0.0103356,98,16308
-0.01012475,95,16401
-0.01015488,98,16512
-0.0103858,96,16587
-0.01044605,99,16684
-0.01043601,96,16773
-0.01034564,96,16866
-0.01034564,97,16959
-0.01047617,95,17052
-0.0103858,94,17145
-0.01057657,97,17238
-0.0108075,96,17331
-0.01051633,95,17424
-0.01030548,98,17535
-0.01002435,96,17610
-0.0102854,94,17703
-0.01055649,97,17796
-0.01065689,94,17889
-0.0108075,95,17982
-0.0109581,96,18075
-0.0109581,100,18168
-0.01044605,94,18261
-0.0103858,91,18354
-0.01024524,96,18447
-0.010185,95,18557
-0.01037576,98,18633
-0.0108075,97,18726
-0.01076734,94,18819
-0.01054645,94,18912
-0.01047617,94,19004
-0.01045609,95,19101
-0.01056653,100,19190
-0.01062677,94,19283
-0.01049625,98,19376
-0.01043601,96,19469
-0.01031552,95,19580
-0.01029544,95,19655
-0.01009463,97,19748
-0.01041592,96,19841
-0.01031552,93,19940
-0.01036572,95,20027
-0.01062677,95,20120
-0.01077738,96,20213
-0.01065689,97,20306
-0.01032556,95,20399
-0.01053641,97,20492
-0.0107573,93,20603
-0.01072718,96,20678
-0.01048621,94,20782
-0.01025528,95,20864
-0.01042597,96,20957
-0.0103356,94,21050
-0.01068702,96,21143
-0.01054645,94,21236
-0.01040588,91,21329
-0.01064685,99,21422
-0.01045609,96,21519
-0.01030548,96,21629
-0.01014484,96,21701
-0.01029544,95,21794
-0.01037576,92,21887
-0.01061673,93,21980
-0.0107573,94,22073
-0.01077738,95,22166
-0.01064685,96,22259
-0.01024524,95,22357
-0.01016492,93,22445
-0.01002435,95,22538
-0.01052637,96,22639
-0.01079746,95,22724
-0.01027536,92,22817
-0.01034564,95,22910
-0.01041592,95,23003
-0.01043601,94,23096
-0.01011472,96,23191
-0.010185,94,23282
-0.01002435,93,23375
-0.01008459,94,23468
-0.01041592,93,23561
-0.01084766,96,23671
-0.01069705,95,23747
-0.01054645,95,23840
-0.01065689,94,23933
-0.01094806,94,24030
-0.01054645,94,24118
-0.0102352,90,24212
-0.01040588,91,24304
-0.01059665,93,24398
-0.01099827,94,24490
-0.01042597,95,24584
-0.01042597,97,24694
-0.01044605,95,24770
-0.01084766,93,24869
-0.0109079,92,24956
-0.01068702,93,25049
-0.01031552,92,25142
-0.01059665,94,25235
-0.01015488,94,25328
-0.009703059,92,25421
-0.01057657,91,25514
-0.01047617,93,25609
-0.01052637,96,25720
-0.01088782,96,25793
-0.01040588,94,25886
-0.0103858,93,25979
-0.01053641,92,26072
-0.0103858,93,26165
-0.01036572,92,26258
-0.01008459,91,26351
-0.01025528,94,26448
-0.01032556,93,26537
-0.01066693,95,26630
-0.01046613,93,26740
-0.01070709,91,26816
-0.01061673,95,26909
-0.01032556,90,27002
-0.01021512,95,27095
-0.01005447,91,27188
-0.01051633,93,27286
-0.01059665,96,27374
-0.01032556,92,27467
-0.01073722,93,27560
-0.01086774,91,27653
-0.01059665,89,27763
-0.01048621,95,27839
-0.01026532,92,27932
-0.01002435,89,28025
-0.01043601,93,28128
-0.01107859,91,28211
-0.01063681,94,28304
-0.01037576,91,28397
-0.01040588,91,28490
-0.01046613,96,28583
-0.009883786,91,28676
-0.01015488,93,28787
-0.01066693,93,28862
-0.01040588,95,28967
-0.01029544,91,29048
-0.01037576,93,29141
-0.01046613,91,29234
-0.01031552,92,29327
-0.01041592,92,29420
-0.01066693,93,29513
-0.01057657,93,29606
-0.01016492,93,29704
-0.01019504,86,29826
-0.01054645,90,29885
-0.01051633,89,29978
-0.01025528,94,30071
-0.010185,91,30164
-0.01058661,91,30257
-0.01053641,88,30350
-0.01039584,91,30443
-0.01017496,89,30546
-0.01006451,94,30629
-0.01052637,90,30722
-0.01055649,91,30833
-0.01020508,93,30908
-0.009933989,91,31001
-0.01015488,89,31094
-0.01043601,92,31187
-0.01053641,92,31280
-0.01044605,90,31385
-0.01067697,92,31466
-0.01020508,90,31559
-0.01037576,90,31652
-0.01053641,88,31745
-0.01017496,92,31856
-0.009843625,89,31931
-0.01000427,93,32024
-0.0103858,90,32117
-0.01094806,90,32210
-0.01067697,90,32303
-0.01042597,89,32396
-0.01035568,90,32489
-0.01118903,89,32582
-0.01123923,91,32675
-0.01070709,88,32768
-0.01027536,91,32879
-0.01044605,89,32954
-0.01034564,88,33047
-0.0107573,90,33140
-0.01091794,90,33233
-0.01057657,89,33326
-0.01056653,93,33419
-0.01043601,88,33512
-0.01034564,87,33605
-0.01063681,92,33698
-0.01016492,85,33803
-0.01019504,90,33914
-0.01022516,90,33977
-0.01045609,91,34070
-0.01059665,89,34163
-0.01059665,90,34256
-0.01044605,88,34349
-0.0107573,91,34442
-0.01043601,89,34535
-0.01059665,89,34628
-0.01084766,91,34721
-0.01034564,92,34814
-0.01021512,86,34925
-0.01045609,89,35000
-0.01034564,92,35093
-0.01046613,93,35186
-0.01058661,89,35279
-0.01061673,89,35372
-0.01004443,89,35465
-0.01026532,86,35558
-0.01059665,88,35651
-0.01065689,90,35744
-0.0108075,91,35837
-0.01067697,88,35948
-0.01043601,90,36023
-0.0102854,90,36116
-0.01022516,82,36209
-0.0108577,90,36302
-0.01111875,92,36395
-0.01065689,86,36488
-0.01027536,88,36581
-0.01007455,89,36674
-0.01017496,89,36767
-0.009974151,86,36860
-0.01015488,90,36962
-0.01036572,89,37046
-0.01055649,89,37139
-0.01040588,89,37232
-0.01042597,87,37325
-0.01004443,89,37418
-0.01072718,89,37511
-0.01077738,90,37604
-0.01027536,89,37697
-0.010185,89,37790
-0.009984189,89,37893
-0.01020508,88,37994
-0.01048621,90,38069
-0.01029544,90,38162
-0.01019504,90,38255
-0.01024524,87,38348
-0.01037576,87,38441
-0.01063681,88,38534
-0.01077738,88,38627
-0.01059665,86,38723
-0.01059665,88,38813
-0.01052637,85,38906
-0.01074726,85,39017
-0.01103843,91,39092
-0.01042597,88,39185
-0.01001431,87,39278
-0.01037576,86,39371
-0.01081754,88,39464
-0.01055649,88,39565
-0.01022516,90,39650
-0.01026532,89,39743
-0.01064685,88,39836
-0.01066693,89,39929
-0.0102854,89,40040
-0.01000427,90,40115
-0.009783382,88,40208
-0.01026532,88,40301
-0.0103858,89,40403
-0.01000427,86,40487
-0.01066693,86,40580
-0.01062677,84,40673
-0.01007455,84,40766
-0.01015488,86,40859
-0.01067697,86,40952
-0.01037576,85,41062
-0.01026532,85,41138
-0.01016492,86,41231
-0.01005447,86,41324
-0.009923948,87,41417
-0.009923948,87,41510
-0.0103356,87,41603
-0.01051633,88,41696
-0.01073722,88,41789
-0.01052637,88,41882
-0.01042597,85,41983
-0.01020508,89,42094
-0.01055649,86,42161
-0.01044605,87,42254
-0.01003439,87,42347
-0.01009463,87,42440
-0.01046613,87,42533
-0.01040588,86,42626
-0.01056653,83,42719
-0.01067697,86,42821
-0.01064685,86,42905
-0.009954069,86,42998
-0.01003439,89,43099
-0.01060669,86,43184
-0.0107573,84,43276
-0.01063681,89,43370
-0.0103356,85,43462
-0.01059665,86,43555
-0.01052637,86,43655
-0.01025528,86,43741
-0.010185,86,43834
-0.01029544,86,43927
-0.01056653,85,44020
-0.01019504,86,44131
-0.01000427,84,44206
-0.01034564,86,44299
-0.01070709,84,44392
