Force(N),Distance(mm),Time(ms)
0.01271313,101,409
0.01267297,101,494
0.012432,100,587
0.01271313,102,679
0.01340591,101,772
0.01308462,101,865
0.01309466,101,957
0.01326535,99,1058
0.01278341,98,1170
0.0125324,100,1236
0.01285369,101,1328
0.01299426,99,1421
0.01283361,100,1514
0.01303442,98,1606
0.01277337,99,1699
0.01266292,101,1792
0.01303442,99,1898
0.01313482,100,1977
0.0126328,101,2070
0.01280349,99,2182
0.01313482,100,2256
0.01296414,100,2348
0.012432,98,2441
0.01250228,98,2534
0.01285369,101,2626
0.01270309,100,2719
0.01228139,103,2812
0.01277337,96,2905
0.01329547,97,2997
0.01326535,99,3090
0.01308462,102,3202
0.0130545,99,3276
0.01302438,100,3368
0.0130043,96,3461
0.01324527,98,3554
0.01279345,98,3646
0.01240188,99,3739
0.01241192,101,3833
0.01324527,100,3925
0.01293401,98,4017
0.01337579,96,4110
0.01344607,99,4221
0.0131549,100,4295
0.01290389,96,4388
0.01308462,98,4481
0.01269305,99,4574
0.01272317,99,4674
0.01292397,98,4759
0.01267297,98,4852
0.0132051,98,4945
0.01354648,98,5037
0.01319506,97,5130
0.01227135,97,5249
0.01286373,98,5315
0.01260268,97,5408
0.01249224,98,5501
0.01245208,98,5594
0.0126328,96,5686
0.0125826,96,5779
0.01255248,96,5872
0.01294405,96,5965
0.0131047,99,6057
0.01359668,100,6150
0.01283361,96,6261
0.01219103,98,6335
0.01261272,98,6428
0.01277337,98,6521
0.01288381,99,6613
0.01251232,96,6706
0.01292397,97,6799
0.01299426,97,6892
0.01265288,96,6984
0.01291393,96,7077
0.01292397,98,7170
0.01267297,99,7281
0.01250228,98,7355
0.01265288,97,7448
0.01271313,99,7540
0.01250228,97,7633
0.01215087,98,7726
0.01205046,98,7819
0.01205046,97,7911
0.01255248,98,8004
0.0130043,98,8097
0.01277337,94,8190
0.0125324,94,8302
0.01270309,97,8375
0.01279345,95,8468
0.01281353,97,8560
0.01281353,98,8653
0.01244204,98,8746
0.01254244,95,8838
0.01298422,99,8931
0.01291393,99,9031
0.01265288,97,9116
0.01228139,100,9209
0.01244204,98,9320
0.01296414,97,9394
0.01261272,94,9487
0.01266292,95,9580
0.01247216,98,9673
0.01279345,96,9765
0.01323522,96,9871
0.01325531,96,9951
0.01321514,93,10043
0.01318502,100,10136
0.0130545,94,10229
0.01283361,102,10341
0.01318502,96,10414
0.01274325,94,10507
0.01272317,97,10600
0.01290389,98,10693
0.01284365,98,10785
0.01255248,94,10878
0.01280349,94,10971
0.01262276,95,11063
0.01284365,94,11156
0.01316494,96,11249
0.01285369,96,11360
0.0125324,99,11434
0.01299426,91,11527
0.01331555,94,11620
0.01294405,100,11712
0.01297418,94,11806
0.01293401,97,11898
0.01276333,94,11991
0.01298422,95,12083
0.01276333,98,12176
0.01241192,97,12269
0.01265288,93,12380
0.01260268,97,12454
0.01302438,95,12547
0.01299426,95,12651
0.01296414,94,12732
0.01287377,93,12825
0.01255248,97,12918
0.01304446,97,13011
0.01270309,97,13103
0.01273321,96,13196
0.01262276,96,13289
0.01268301,97,13400
0.01313482,93,13474
0.01341595,96,13567
0.01328543,94,13660
0.01278341,95,13752
0.01272317,95,13845
0.01282357,93,13938
0.01283361,93,14030
0.01244204,97,14123
0.01241192,98,14216
0.01237175,94,14309
0.01225127,96,14420
0.01257256,95,14494
0.01269305,96,14587
0.01272317,94,14679
0.01259264,95,14772
0.01274325,92,14865
0.01359668,95,14958
0.01390793,96,15050
0.01345611,92,15143
0.01313482,95,15236
0.01277337,90,15328
0.01287377,96,15440
0.01273321,95,15514
0.01311474,94,15607
0.01257256,94,15699
0.01220107,94,15792
0.01262276,94,15885
0.01318502,92,15977
0.01304446,93,16070
0.01262276,94,16164
0.01279345,94,16256
0.01289385,94,16348
0.01284365,93,16460
0.01281353,93,16534
