Force(N),Distance(mm),Time(ms)
-0.003417799,102,101
-0.003146709,102,164
-0.003287274,103,257
-0.00372905,100,349
-0.003919816,102,442
-0.003889695,99,535
-0.003829453,97,628
-0.003809373,105,721
-0.003708969,99,824
-0.003518203,103,907
-0.004000139,103,1000
-0.003869615,101,1101
-0.003769211,99,1186
-0.003789292,102,1278
-0.00402022,102,1371
-0.003608566,101,1464
-0.003658767,103,1557
-0.00372905,100,1655
-0.003387678,102,1743
-0.003678848,100,1836
-0.004130664,102,1929
-0.004070422,102,2022
-0.003317395,100,2128
-0.003186871,99,2208
-0.003367597,102,2300
-0.003307355,100,2393
-0.003387678,100,2494
-0.003267193,101,2579
-0.003648727,101,2672
-0.003618606,103,2765
-0.003849534,102,2858
-0.003869615,101,2951
-0.003508162,101,3044
-0.003528243,100,3150
-0.003488082,101,3229
-0.003568404,101,3329
-0.003508162,102,3415
-0.003347516,104,3508
-0.003468001,102,3601
-0.003427839,102,3694
-0.003488082,101,3787
-0.003136669,101,3880
-0.003216992,102,3973
-0.003889695,102,4066
-0.003889695,100,4172
-0.003658767,102,4251
-0.004090503,100,4344
-0.003698929,104,4437
-0.00401018,102,4530
-0.003688888,101,4623
-0.003257153,101,4716
-0.003708969,104,4809
-0.00344792,100,4906
-0.003809373,102,4994
-0.003668808,101,5087
-0.00372905,100,5193
-0.003608566,102,5273
-0.003277234,102,5366
-0.003668808,100,5459
-0.003457961,99,5552
-0.00344792,104,5645
-0.00372905,99,5741
-0.004271229,101,5830
-0.004000139,104,5923
-0.003608566,103,6016
-0.003749131,100,6109
-0.004080462,102,6215
-0.004060382,102,6295
-0.003558364,102,6388
-0.003488082,102,6481
-0.003457961,100,6580
-0.00373909,101,6667
-0.003658767,101,6759
-0.003598526,101,6852
-0.003749131,102,6945
-0.003648727,101,7038
-0.004040301,102,7131
-0.003468001,102,7233
-0.00316679,98,7317
-0.003297315,102,7411
-0.003196911,101,7503
-0.003146709,103,7595
-0.003518203,99,7688
-0.003367597,102,7781
-0.003056346,99,7874
-0.003307355,102,7967
-0.003628646,102,8060
-0.003598526,103,8153
-0.003719009,102,8259
-0.003287274,100,8339
-0.003698929,99,8431
-0.003849534,100,8524
-0.003608566,102,8617
-0.003658767,100,8710
-0.003578445,97,8803
-0.003648727,98,8896
-0.003347516,102,8989
-0.003749131,101,9082
-0.003357557,100,9174
-0.00315675,99,9281
-0.00344792,102,9360
-0.003628646,101,9453
-0.00343788,102,9546
-0.003598526,101,9639
-0.003457961,100,9732
-0.003478041,101,9825
-0.003367597,102,9918
-0.003708969,98,10011
-0.004110583,102,10104
-0.003909776,102,10196
-0.003678848,103,10303
-0.003578445,102,10382
-0.003959978,100,10475
-0.003899736,101,10568
-0.003618606,102,10661
-0.003909776,103,10754
-0.004100543,101,10847
-0.004030261,103,10940
-0.003779252,100,11032
-0.003397718,102,11125
-0.003227032,100,11218
-0.003407758,100,11324
-0.003839493,101,11404
-0.003749131,101,11498
-0.003909776,99,11590
-0.004090503,100,11683
-0.004050341,100,11776
-0.003849534,100,11868
-0.003668808,103,11961
-0.003578445,102,12054
-0.00343788,101,12147
-0.003508162,101,12240
-0.003508162,101,12346
-0.003889695,102,12426
-0.003668808,100,12519
-0.00315675,99,12612
-0.003267193,100,12704
-0.003297315,100,12797
-0.003237073,99,12890
-0.002925821,105,12983
-0.003227032,99,13076
-0.003779252,98,13169
-0.003558364,102,13262
-0.003819413,101,13368
-0.003789292,100,13448
-0.003327436,96,13541
-0.003317395,101,13633
-0.003417799,101,13726
-0.003387678,101,13819
-0.004000139,100,13912
-0.00430135,102,14005
-0.003749131,101,14098
-0.003508162,99,14191
-0.003518203,99,14284
-0.003397718,102,14390
-0.003588485,104,14469
-0.00344792,99,14562
-0.003538283,104,14655
-0.00401018,100,14748
-0.004030261,101,14841
-0.004120624,100,14934
-0.004170825,101,15027
-0.004070422,101,15120
-0.003959978,101,15213
-0.004040301,100,15305
-0.004060382,101,15407
-0.003889695,103,15491
-0.003407758,99,15584
-0.003427839,101,15677
-0.003488082,100,15770
-0.003638687,98,15863
-0.004080462,102,15956
-0.003598526,101,16049
-0.003548324,101,16141
-0.003347516,102,16234
-0.003598526,104,16327
-0.003899736,97,16433
-0.003980059,96,16513
-0.003919816,100,16606
-0.004050341,99,16699
-0.004130664,98,16792
-0.004371633,100,16884
-0.004200947,97,16977
-0.003608566,102,17070
-0.003347516,100,17163
-0.003397718,100,17256
-0.003267193,100,17349
-0.003608566,104,17455
-0.003518203,101,17535
-0.003769211,98,17627
-0.003608566,101,17720
-0.003267193,100,17813
-0.003698929,98,17906
-0.003377638,98,17999
-0.003528243,101,18092
-0.003749131,99,18185
-0.003819413,98,18278
-0.003759171,102,18370
-0.003588485,98,18477
-0.00343788,100,18556
-0.003618606,99,18649
-0.004321431,100,18742
-0.003990099,101,18835
-0.003578445,99,18928
-0.003498122,100,19021
-0.003146709,99,19114
-0.003357557,97,19206
-0.003849534,98,19299
-0.003879655,101,19392
-0.003608566,102,19499
-0.003668808,99,19578
-0.003809373,100,19671
-0.003598526,100,19764
-0.003698929,98,19857
-0.003980059,99,19950
-0.003899736,98,20043
-0.003417799,101,20135
-0.003839493,102,20228
