Force(N),Distance(mm),Time(ms)
-0.005094538,98,138
-0.005295345,100,177
-0.00514474,101,260
-0.004803368,98,353
-0.004743126,101,446
-0.00457244,101,544
-0.005114618,101,632
-0.005405789,102,725
-0.005476072,101,817
-0.004883691,102,910
-0.004291309,103,1003
-0.004562399,101,1114
-0.005164821,102,1189
-0.005335506,104,1282
-0.005265224,99,1384
-0.005496152,101,1468
-0.004893731,102,1561
-0.00514474,99,1654
-0.005666838,99,1747
-0.005586515,101,1839
-0.005164821,101,1932
-0.005235103,98,2025
-0.005134699,100,2136
-0.005044336,98,2211
-0.004943933,105,2304
-0.004512197,99,2397
-0.00484353,104,2490
-0.005405789,100,2583
-0.004803368,99,2675
-0.004692924,102,2768
-0.004713005,98,2861
-0.004492116,101,2964
-0.005265224,100,3047
-0.005265224,99,3158
-0.005174861,99,3233
-0.004753166,102,3326
-0.004652762,100,3419
-0.004652762,98,3511
-0.004361592,102,3604
-0.004602561,100,3697
-0.005094538,102,3803
-0.005245143,102,3883
-0.005215023,99,3976
-0.004853569,100,4069
-0.004994134,100,4180
-0.005134699,97,4255
-0.004883691,102,4348
-0.004823449,100,4440
-0.004903771,103,4533
-0.004893731,100,4626
-0.005124659,100,4719
-0.005395749,100,4812
-0.004853569,104,4905
-0.004512197,100,4998
-0.004733085,100,5091
-0.005134699,100,5202
-0.00486361,100,5277
-0.005004175,99,5369
-0.00514474,100,5462
-0.005174861,102,5555
-0.005385708,101,5648
-0.005466031,99,5741
-0.005275264,99,5834
-0.004943933,101,5927
-0.005194942,101,6020
-0.004943933,102,6113
-0.004933892,102,6223
-0.004702964,99,6298
-0.004964013,100,6391
-0.004913811,101,6484
-0.004803368,99,6577
-0.005024255,98,6670
-0.004883691,97,6763
-0.004933892,102,6856
-0.004853569,101,6949
-0.004893731,101,7042
-0.004632682,101,7135
-0.005084497,99,7246
-0.005305385,100,7320
-0.005194942,100,7418
-0.005285304,98,7506
-0.005124659,98,7599
-0.005004175,98,7692
-0.004773247,103,7785
-0.00487365,103,7878
-0.004773247,99,7971
-0.005084497,101,8064
-0.004803368,98,8157
-0.004823449,101,8268
-0.005255184,100,8343
-0.005385708,103,8435
-0.004943933,102,8528
-0.004833489,101,8621
-0.005034296,98,8714
-0.00487365,98,8807
-0.004713005,94,8900
-0.004793327,99,9000
-0.005285304,98,9086
-0.005265224,103,9179
-0.004923852,99,9290
-0.005104578,96,9364
-0.005134699,99,9457
-0.005255184,101,9550
-0.005315426,100,9643
-0.005235103,100,9736
-0.005325466,98,9839
-0.004953973,100,9922
-0.004943933,97,10015
-0.004542318,100,10108
-0.004652762,100,10201
-0.004964013,96,10311
-0.004783288,99,10386
-0.004953973,100,10479
-0.005124659,99,10572
-0.00514474,98,10678
-0.004783288,101,10758
-0.004803368,100,10851
-0.004702964,100,10944
-0.004964013,102,11037
-0.00486361,100,11130
-0.005235103,98,11223
-0.005024255,100,11333
-0.004562399,99,11408
-0.004692924,101,11501
-0.004984094,99,11594
-0.004743126,99,11687
-0.005104578,99,11780
-0.005204982,101,11873
-0.005225062,100,11966
-0.005245143,97,12059
-0.005074457,104,12152
-0.005094538,99,12244
-0.00487365,100,12369
-0.004943933,101,12430
-0.004753166,97,12523
-0.004743126,100,12616
-0.004893731,99,12709
-0.005315426,101,12802
-0.005666838,98,12895
-0.005506192,99,12988
-0.005295345,99,13081
-0.005255184,97,13174
-0.005064416,98,13266
-0.005174861,101,13377
-0.005114618,98,13454
-0.005034296,102,13545
-0.004923852,99,13638
-0.005064416,96,13731
-0.005204982,98,13824
-0.005054377,98,13917
-0.005114618,101,14010
-0.005114618,97,14103
-0.00542587,99,14195
-0.005395749,99,14288
-0.005184901,100,14399
-0.004984094,97,14474
-0.004753166,98,14567
-0.004642722,100,14660
-0.004964013,97,14753
-0.004692924,95,14846
-0.004532278,99,14939
-0.004190907,99,15032
-0.004271229,97,15125
-0.004632682,102,15217
-0.004923852,101,15310
-0.00514474,99,15421
-0.004953973,98,15496
-0.004632682,98,15589
-0.004431874,99,15682
-0.004472036,101,15775
-0.004813408,100,15875
-0.004562399,101,15961
-0.004913811,97,16054
-0.004883691,101,16147
-0.004662803,98,16239
-0.004984094,99,16332
-0.005486112,99,16439
-0.005355587,101,16518
-0.005044336,98,16611
-0.004974054,95,16710
-0.004853569,99,16797
-0.004672843,97,16890
-0.004682884,97,16983
-0.005225062,99,17076
-0.005285304,98,17168
-0.005174861,100,17261
-0.005114618,99,17354
-0.00484353,98,17472
-0.005194942,98,17553
-0.005255184,95,17633
-0.004913811,100,17726
-0.004642722,98,17819
-0.004903771,97,17912
-0.00459252,100,18005
-0.004713005,100,18098
-0.004813408,98,18190
-0.005084497,96,18291
-0.004652762,98,18376
-0.004562399,96,18487
-0.005094538,95,18562
-0.00484353,99,18655
-0.004803368,98,18748
-0.00457244,98,18841
-0.005064416,98,18934
-0.005104578,99,19027
-0.004672843,95,19131
-0.00484353,97,19213
-0.00484353,101,19305
-0.004733085,95,19398
-0.004933892,97,19509
-0.005305385,95,19584
-0.005114618,99,19677
-0.005235103,96,19770
-0.005375668,97,19863
-0.005114618,100,19956
-0.005104578,99,20049
-0.005466031,97,20141
-0.004953973,98,20234
-0.004853569,97,20327
-0.005204982,95,20420
-0.005405789,95,20531
-0.005114618,97,20606
-0.005054377,97,20699
-0.005556394,100,20792
-0.005646758,98,20885
-0.004773247,98,20978
-0.004552359,101,21070
-0.004913811,94,21163
-0.005024255,96,21256
-0.005054377,97,21349
-0.004913811,97,21442
-0.005516233,98,21553
-0.005174861,94,21628
-0.004933892,98,21721
-0.004652762,97,21814
-0.005014215,95,21906
-0.005275264,95,21999
-0.005536314,96,22092
-0.00542587,97,22185
-0.004974054,97,22278
-0.004753166,98,22371
-0.00484353,98,22464
-0.005104578,98,22575
-0.004913811,98,22650
-0.004773247,96,22745
-0.004512197,97,22835
-0.004733085,98,22928
-0.004713005,96,23021
-0.004823449,98,23114
-0.005204982,98,23207
-0.005235103,96,23300
-0.004883691,95,23393
-0.004953973,96,23486
-0.005164821,99,23592
-0.004823449,96,23671
-0.004903771,96,23764
-0.004984094,98,23857
-0.00515478,96,23950
-0.005204982,97,24043
-0.004923852,96,24136
-0.005054377,97,24229
