Force(N),Distance(mm),Time(ms)
-0.008709064,100,171
-0.009180963,104,224
-0.009201042,104,317
-0.009231163,106,410
-0.009281366,105,503
-0.009462091,102,596
-0.009602657,102,689
-0.009652859,102,782
-0.009170921,101,875
-0.008909872,104,968
-0.009170921,102,1061
-0.008809469,106,1172
-0.008628741,102,1247
-0.009211082,99,1340
-0.009542414,103,1433
-0.009291406,104,1526
-0.009170921,102,1619
-0.009070517,101,1712
-0.009010276,101,1805
-0.009251244,102,1898
-0.009291406,101,1991
-0.0091408,102,2084
-0.009642818,102,2195
-0.009361688,103,2270
-0.009060478,102,2363
-0.009442011,103,2456
-0.009723141,103,2549
-0.009261284,101,2642
-0.008668903,100,2735
-0.009311486,102,2828
-0.009582576,100,2921
-0.009482172,100,3014
-0.009231163,100,3106
-0.008990194,102,3217
-0.008960074,102,3292
-0.009301445,99,3385
-0.009552455,98,3478
-0.009180963,101,3571
-0.009311486,100,3664
-0.009191002,104,3757
-0.008929953,102,3850
-0.0091408,98,3943
-0.009763302,99,4036
-0.009793424,102,4129
-0.009452051,102,4240
-0.009502253,101,4315
-0.009251244,102,4408
-0.009080559,103,4501
-0.009000236,101,4594
-0.008839589,100,4687
-0.008789388,97,4780
-0.00881951,101,4873
-0.009442011,104,4966
-0.009652859,102,5059
-0.0097131,100,5152
-0.009482172,101,5286
-0.008960074,99,5338
-0.009090599,101,5431
-0.009000236,100,5524
-0.008779347,100,5617
-0.009331568,101,5710
-0.009944028,103,5803
-0.009492212,100,5896
-0.009301445,101,5989
-0.008929953,103,6082
-0.009331568,99,6174
-0.009913907,104,6285
-0.009984189,102,6360
-0.009743221,100,6453
-0.009180963,103,6546
-0.009582576,101,6639
-0.009672939,98,6732
-0.00913076,101,6825
-0.009301445,102,6918
-0.009431971,102,7011
-0.009431971,102,7104
-0.009080559,100,7197
-0.008699025,98,7308
-0.008950033,103,7383
-0.008970115,102,7476
-0.009100639,101,7569
-0.009301445,100,7662
-0.009331568,99,7757
-0.009552455,98,7848
-0.009502253,100,7941
-0.009783382,99,8034
-0.009552455,100,8127
-0.009110679,101,8220
-0.008739186,100,8331
-0.008919912,99,8406
-0.009191002,100,8499
-0.009211082,101,8596
-0.009080559,98,8685
-0.009020317,99,8777
-0.009351647,97,8870
-0.009371728,101,8963
-0.009231163,99,9056
-0.009241204,100,9149
-0.009391809,99,9242
-0.00915084,102,9353
-0.008909872,100,9440
-0.009191002,100,9521
-0.009381768,100,9614
-0.009170921,101,9707
-0.009331568,100,9800
-0.009090599,99,9893
-0.009542414,99,9986
-0.009592616,101,10079
-0.0091408,102,10177
-0.009321527,99,10265
-0.009552455,98,10376
-0.009512293,95,10451
-0.009954069,97,10544
-0.009803463,100,10637
-0.009562495,100,10730
-0.009361688,97,10823
-0.009201042,99,10916
-0.009010276,101,11021
-0.009000236,99,11102
-0.008668903,98,11194
-0.009191002,99,11287
-0.009482172,98,11398
-0.009241204,98,11474
-0.009672939,99,11566
-0.00940185,100,11659
-0.009361688,100,11752
-0.009522334,100,11845
-0.009803463,101,11938
-0.009642818,101,12031
-0.009763302,98,12124
-0.009452051,101,12217
-0.009170921,99,12310
-0.009191002,99,12421
-0.009472132,101,12496
-0.009211082,102,12589
-0.008980155,98,12682
-0.009361688,99,12775
-0.009281366,98,12868
-0.009462091,98,12961
-0.009241204,99,13054
-0.009180963,99,13147
-0.009251244,97,13240
-0.009110679,98,13333
-0.009512293,97,13444
-0.009291406,98,13519
-0.009040397,103,13612
-0.009281366,99,13705
-0.009803463,98,13798
-0.009321527,101,13891
-0.008699025,99,13984
-0.00913076,98,14077
-0.009472132,96,14170
-0.009180963,98,14263
-0.00915084,99,14356
-0.009241204,99,14467
-0.009231163,100,14542
-0.009241204,99,14635
-0.009000236,96,14727
-0.008980155,98,14820
-0.00940185,97,14913
