Force(N),Distance(mm),Time(ms)
-0.003367597,99,143
-0.003688888,100,181
-0.003578445,100,258
-0.003397718,99,351
-0.003548324,100,444
-0.003658767,102,536
-0.003628646,99,629
-0.00344792,101,722
-0.003287274,101,815
-0.003819413,100,908
-0.003889695,97,1001
-0.003267193,102,1112
-0.003518203,97,1186
-0.003799332,100,1279
-0.00373909,101,1372
-0.003678848,99,1465
-0.003658767,101,1558
-0.003588485,102,1651
-0.003478041,102,1743
-0.003708969,100,1836
-0.004050341,104,1929
-0.003749131,100,2022
-0.003548324,102,2133
-0.003819413,100,2208
-0.004040301,98,2301
-0.004231067,101,2393
-0.004241108,103,2486
-0.003970019,98,2581
-0.003708969,100,2672
-0.003046306,100,2765
-0.003076427,96,2858
-0.003026225,99,2951
-0.003116588,100,3043
-0.003457961,103,3154
-0.00343788,100,3229
-0.003417799,101,3322
-0.003528243,101,3420
-0.003558364,100,3507
-0.00343788,100,3600
-0.003829453,98,3693
-0.003608566,98,3786
-0.003508162,97,3879
-0.003508162,99,3972
-0.003407758,100,4064
-0.003789292,99,4175
-0.003658767,99,4260
-0.003397718,98,4343
-0.003608566,101,4436
-0.003347516,99,4529
-0.003297315,98,4622
-0.003237073,96,4714
-0.003307355,98,4807
-0.003488082,100,4900
-0.003216992,102,5001
-0.003648727,98,5086
-0.003498122,100,5197
-0.003588485,97,5272
-0.003488082,95,5364
-0.003096508,101,5457
-0.003186871,100,5550
-0.003618606,102,5643
-0.003578445,97,5736
-0.003407758,100,5841
-0.00343788,102,5921
-0.003488082,100,6014
-0.003227032,102,6107
-0.00372905,97,6218
-0.003568404,99,6293
-0.003397718,100,6386
-0.003749131,100,6478
-0.003548324,98,6571
-0.003267193,101,6664
-0.003528243,100,6757
-0.003347516,98,6850
-0.004030261,100,6943
-0.003889695,100,7035
-0.003568404,99,7128
-0.003879655,97,7239
-0.003708969,98,7314
-0.003779252,99,7407
-0.003508162,96,7500
-0.003287274,96,7592
-0.003247113,100,7685
-0.003016185,97,7778
-0.003046306,98,7871
-0.003578445,101,7964
-0.003879655,102,8057
-0.003839493,99,8149
-0.003769211,99,8260
-0.003879655,95,8335
-0.003468001,99,8428
-0.003186871,101,8521
-0.003468001,99,8614
-0.003076427,99,8706
-0.003307355,98,8799
-0.003608566,100,8892
-0.003708969,100,8985
-0.003658767,98,9078
-0.003227032,100,9171
