Force(N),Distance(mm),Time(ms)
-0.00628934,102,149
-0.006279299,101,211
-0.006038331,99,304
-0.006630712,102,397
-0.006700994,102,490
-0.00628934,105,583
-0.006470066,101,676
-0.006530309,101,768
-0.006369663,103,872
-0.00629938,99,954
-0.00628934,100,1047
-0.006399784,101,1158
-0.006098573,105,1233
-0.006168856,100,1326
-0.00657047,103,1419
-0.006841559,100,1512
-0.006510228,105,1605
-0.006711035,101,1698
-0.006851599,100,1790
-0.006851599,104,1883
-0.006690954,101,1976
-0.007042366,103,2069
-0.006700994,103,2175
-0.006711035,99,2255
-0.006791358,104,2348
-0.006178896,99,2441
-0.005887726,100,2534
-0.00599817,100,2627
-0.006028291,101,2720
-0.006439945,102,2812
-0.00657047,101,2905
-0.006680914,101,2998
-0.006650792,103,3091
-0.006640753,102,3202
-0.006992164,103,3277
-0.006480107,101,3370
-0.006349582,101,3463
-0.006028291,98,3556
-0.005907807,100,3649
-0.006249179,101,3742
-0.006480107,97,3835
-0.00656043,100,3928
-0.006520268,99,4020
-0.006530309,99,4113
-0.006449986,100,4237
-0.006389744,103,4299
-0.006259218,98,4392
-0.006419864,103,4485
-0.006279299,101,4578
-0.006600591,101,4671
-0.006600591,99,4764
-0.006269259,101,4857
-0.006449986,100,4950
-0.006379703,101,5043
-0.006329501,102,5136
-0.006811439,99,5247
-0.006791358,101,5322
-0.006470066,102,5414
-0.006078492,102,5507
-0.00657047,101,5600
-0.005947968,101,5693
-0.006209017,100,5786
-0.006480107,100,5879
-0.006158815,100,5972
-0.006610631,99,6065
-0.00686164,101,6158
-0.006690954,98,6269
-0.006168856,104,6344
-0.006349582,103,6437
-0.00658051,99,6530
-0.006038331,102,6622
-0.005837524,100,6715
-0.006138735,101,6808
-0.006309421,101,6902
-0.006309421,97,6994
-0.006640753,103,7087
-0.007092568,102,7180
-0.006510228,98,7291
-0.006439945,98,7366
-0.006319461,100,7459
-0.006319461,102,7552
-0.00656043,105,7645
-0.006058412,102,7742
-0.006269259,100,7831
-0.006811439,100,7923
-0.006771277,101,8016
-0.006429905,102,8109
-0.006630712,102,8202
-0.006309421,100,8336
-0.006359622,104,8388
-0.006449986,100,8481
-0.006369663,99,8574
-0.006349582,102,8667
-0.006500187,102,8760
-0.005947968,104,8855
-0.005857605,100,8946
-0.006178896,101,9038
-0.006590551,99,9131
-0.00656043,102,9224
-0.005947968,98,9358
-0.005666838,100,9410
-0.00600821,98,9503
-0.00598813,99,9596
-0.00600821,102,9689
-0.006409824,101,9782
-0.006550389,99,9875
-0.006429905,99,9968
-0.006309421,100,10061
-0.006379703,102,10154
-0.00687168,99,10246
-0.006901801,101,10357
-0.006530309,98,10432
-0.006771277,97,10525
-0.006841559,99,10618
-0.006449986,98,10711
-0.005927887,100,10804
-0.006058412,99,10897
-0.006500187,100,10990
-0.006530309,99,11083
-0.006670873,95,11176
-0.006821479,99,11269
-0.006851599,101,11403
-0.006801398,103,11455
-0.006339541,102,11547
-0.00657047,102,11640
-0.006480107,98,11733
-0.006670873,99,11826
-0.006831518,99,11919
-0.006419864,101,12012
-0.006078492,99,12105
-0.006339541,98,12198
-0.006610631,100,12291
-0.006379703,97,12425
-0.006178896,102,12477
-0.006359622,100,12570
-0.00598813,100,12663
-0.006209017,102,12756
