Force(N),Distance(mm),Time(ms)
-0.008277329,101,162
-0.007966079,103,206
-0.008779347,101,299
-0.008678944,101,392
-0.008528338,100,494
-0.008919912,101,578
-0.009010276,100,671
-0.008437976,103,764
-0.008618702,103,857
-0.009231163,102,950
-0.009050437,99,1043
-0.008899832,101,1154
-0.008618702,102,1229
-0.008749226,101,1333
-0.008809469,101,1415
-0.008387774,102,1508
-0.008739186,100,1601
-0.009030356,100,1694
-0.008849629,102,1787
-0.008779347,102,1880
-0.00853838,99,1973
-0.008588581,101,2071
-0.008919912,103,2182
-0.009211082,102,2252
-0.009110679,100,2344
-0.008799428,105,2437
-0.008357653,99,2530
-0.008568501,105,2623
-0.008839589,101,2716
-0.008889791,103,2809
-0.008427935,102,2915
-0.008237168,103,2995
-0.008638783,96,3088
-0.008719105,103,3199
-0.008769307,101,3274
-0.00881951,103,3367
-0.008789388,100,3460
-0.008809469,99,3553
-0.00857854,102,3646
-0.009010276,104,3739
-0.008909872,100,3832
-0.008729145,102,3925
-0.008327532,101,4018
-0.00854842,100,4111
-0.008508258,100,4245
-0.008608662,102,4297
-0.008558459,101,4390
-0.00857854,100,4483
-0.008518297,99,4576
-0.008970115,102,4669
-0.008839589,101,4762
-0.008498219,100,4867
-0.008628741,102,4948
-0.008729145,99,5041
-0.009201042,104,5133
-0.008568501,102,5244
-0.008668903,104,5319
-0.008849629,98,5412
-0.00913076,104,5505
-0.008558459,102,5598
-0.008247209,99,5691
-0.008407854,100,5784
-0.008638783,98,5877
-0.008889791,100,5970
-0.008849629,99,6063
-0.008839589,100,6156
-0.008889791,100,6267
-0.008929953,100,6342
-0.008919912,100,6435
-0.008407854,103,6528
-0.008247209,98,6621
-0.008096604,99,6714
-0.008227128,100,6807
-0.008960074,103,6900
-0.009030356,102,6993
-0.008859671,100,7086
-0.008919912,100,7179
-0.008648824,102,7290
-0.008809469,96,7365
-0.009652859,102,7458
-0.008638783,96,7551
-0.008197006,101,7644
-0.008377734,100,7737
-0.008287371,100,7830
-0.008568501,98,7923
-0.00857854,97,8015
-0.009010276,98,8108
-0.008709064,101,8201
-0.008829549,102,8312
-0.009160881,101,8387
-0.009070517,101,8480
-0.008688985,98,8573
-0.008357653,102,8666
-0.008427935,100,8759
-0.008287371,97,8852
-0.008116684,100,8945
-0.008478136,99,9038
-0.008518297,104,9131
-0.008126724,102,9224
-0.008217088,103,9335
-0.008247209,98,9410
-0.008628741,98,9503
-0.008749226,96,9596
-0.008417895,97,9689
-0.008598621,101,9782
-0.008899832,97,9875
-0.008488177,99,9968
-0.008417895,100,10061
-0.009050437,101,10154
-0.008970115,99,10247
-0.008859671,99,10353
-0.009080559,99,10433
-0.008668903,102,10526
-0.008207047,100,10619
-0.008106644,101,10712
-0.008116684,101,10804
-0.008197006,99,10897
-0.008658863,99,10990
-0.008919912,98,11083
-0.008960074,101,11176
-0.008417895,98,11269
-0.008568501,99,11380
-0.008688985,103,11455
-0.008638783,101,11548
-0.00857854,99,11641
-0.009040397,100,11737
-0.008859671,98,11827
-0.008488177,99,11920
-0.008678944,95,12013
-0.00913076,99,12106
-0.008990194,100,12199
-0.008016281,100,12292
-0.008056442,102,12426
-0.008397814,101,12478
-0.008377734,101,12571
-0.00853838,97,12664
-0.008598621,99,12756
-0.008789388,99,12849
-0.008889791,98,12942
-0.008759267,100,13035
-0.008448016,98,13128
-0.008247209,98,13221
-0.008066483,102,13314
-0.008458056,100,13425
-0.009050437,101,13500
-0.008719105,101,13593
-0.00854842,95,13689
-0.009020317,98,13779
-0.008980155,99,13872
-0.008598621,98,13965
-0.008618702,97,14058
-0.00854842,99,14151
-0.008096604,99,14244
-0.008508258,99,14337
-0.008478136,99,14471
-0.008628741,98,14523
-0.008769307,100,14616
-0.008789388,95,14709
-0.00853838,99,14802
-0.009180963,98,14895
-0.009020317,98,14988
-0.008528338,95,15081
-0.008397814,100,15173
-0.008468096,95,15267
-0.008387774,97,15359
-0.008186967,95,15470
-0.008407854,98,15545
-0.008427935,100,15641
-0.008427935,97,15731
-0.008588581,97,15824
-0.008247209,95,15917
-0.008066483,95,16010
-0.008307451,98,16103
-0.008327532,101,16196
-0.008648824,98,16289
-0.008688985,99,16382
-0.008568501,99,16493
-0.009010276,98,16568
-0.008668903,98,16661
-0.008729145,99,16754
-0.00915084,101,16847
-0.009070517,99,16940
-0.008719105,98,17033
-0.009231163,99,17126
-0.009241204,98,17219
-0.008970115,94,17311
-0.008688985,97,17404
-0.009060478,94,17516
-0.008779347,98,17590
-0.008146806,100,17683
-0.00800624,95,17776
-0.008106644,95,17869
-0.008950033,97,17962
-0.009341606,98,18062
-0.009201042,98,18148
-0.008558459,94,18241
-0.008618702,98,18334
-0.008799428,95,18427
-0.008939993,99,18538
-0.008638783,98,18613
-0.008939993,95,18706
-0.008889791,96,18799
-0.00881951,95,18902
-0.008387774,98,18985
-0.008106644,94,19078
-0.008437976,99,19171
-0.008799428,98,19264
-0.008829549,99,19357
-0.009110679,96,19450
-0.009251244,97,19560
-0.008950033,94,19636
-0.008769307,95,19728
-0.008839589,97,19821
-0.008387774,95,19914
-0.008437976,93,20007
-0.008297411,96,20100
-0.008448016,94,20193
-0.008468096,94,20286
-0.008508258,98,20379
-0.008598621,94,20482
-0.008427935,96,20593
-0.008729145,98,20658
-0.008950033,97,20751
-0.009080559,93,20844
-0.009351647,98,20937
-0.009160881,100,21030
-0.008789388,96,21123
-0.008628741,94,21216
-0.008709064,97,21321
-0.008528338,99,21402
-0.008568501,96,21495
-0.008377734,94,21606
-0.008387774,97,21681
-0.008588581,97,21774
-0.008709064,95,21867
-0.008929953,96,21960
-0.008739186,97,22053
-0.008799428,95,22146
-0.008508258,100,22239
-0.008678944,97,22332
-0.00854842,95,22425
-0.00881951,93,22517
-0.008779347,92,22628
-0.008478136,96,22703
-0.008367693,94,22796
-0.008458056,97,22889
-0.008237168,95,22982
-0.008468096,95,23075
-0.008347612,97,23168
-0.008367693,92,23261
-0.008397814,95,23354
-0.008297411,95,23447
-0.008136765,95,23540
-0.008136765,95,23651
-0.008277329,98,23726
-0.008498219,97,23819
-0.008327532,98,23912
-0.008317492,98,24005
-0.008207047,96,24098
-0.008166886,96,24191
-0.008558459,97,24284
-0.008699025,98,24377
-0.008397814,95,24470
-0.008407854,97,24563
-0.009100639,96,24687
-0.009241204,93,24748
-0.008688985,99,24841
-0.00854842,100,24936
-0.00854842,95,25027
-0.008437976,95,25120
-0.008618702,97,25213
-0.008427935,99,25306
-0.008518297,95,25399
-0.008558459,95,25492
-0.008799428,94,25585
-0.008397814,97,25696
-0.008287371,96,25775
-0.008437976,92,25864
-0.008729145,94,25957
-0.008568501,96,26050
-0.008257249,94,26143
-0.008628741,95,26236
-0.00881951,94,26329
-0.008397814,95,26422
-0.008417895,96,26517
