Force(N),Distance(mm),Time(ms)
-0.01039584,100,202
-0.01064685,104,246
-0.0109079,103,339
-0.0108075,102,432
-0.009763302,100,525
-0.009582576,103,618
-0.01011472,102,711
-0.01083762,99,804
-0.01084766,102,897
-0.01094806,106,990
-0.01093802,105,1083
-0.01092798,102,1193
-0.01096814,103,1269
-0.01058661,102,1362
-0.009873747,103,1455
-0.009763302,104,1548
-0.009893827,104,1641
-0.01022516,101,1734
-0.01049625,99,1827
-0.01052637,103,1920
-0.01068702,104,2013
-0.01046613,104,2106
-0.01060669,104,2217
-0.01059665,102,2292
-0.01045609,100,2385
-0.01076734,105,2478
-0.01053641,100,2571
-0.01032556,102,2664
-0.01007455,104,2757
-0.01052637,101,2850
-0.01133964,100,2943
-0.01094806,104,3036
-0.01088782,102,3129
-0.010185,101,3240
-0.01035568,102,3315
-0.01041592,98,3408
-0.01052637,103,3501
-0.01072718,103,3594
-0.01037576,98,3687
-0.01024524,97,3780
-0.01026532,101,3873
-0.01057657,101,3966
-0.01058661,103,4059
-0.0103858,98,4152
-0.01062677,102,4263
-0.01051633,101,4338
-0.01098822,99,4431
-0.01058661,102,4524
-0.01069705,102,4617
-0.01120911,100,4710
-0.0108577,100,4803
-0.01081754,100,4896
-0.01064685,100,4989
-0.01110871,102,5082
-0.0109581,101,5175
-0.01041592,99,5281
-0.01061673,99,5361
-0.01049625,99,5454
-0.01069705,101,5547
-0.01066693,101,5640
-0.01058661,99,5733
-0.01025528,101,5826
-0.01047617,102,5919
-0.01107859,99,6012
-0.01089786,102,6105
-0.01030548,99,6198
-0.01048621,99,6309
-0.01108863,101,6384
-0.01046613,101,6477
-0.01013479,99,6570
-0.01059665,100,6663
-0.01030548,99,6757
-0.01041592,99,6850
-0.01061673,100,6943
-0.01014484,99,7036
-0.01044605,100,7129
-0.01059665,102,7222
-0.01063681,101,7332
-0.01064685,97,7407
-0.01036572,100,7500
-0.01068702,103,7593
-0.01084766,100,7686
-0.01079746,98,7779
-0.01079746,97,7872
-0.01045609,98,7965
-0.01076734,102,8058
-0.01069705,100,8151
-0.01052637,98,8244
-0.0109581,100,8355
-0.01098822,99,8430
-0.01104847,100,8523
-0.01073722,99,8616
-0.01055649,100,8709
-0.01045609,99,8802
-0.0103858,98,8895
-0.01047617,99,8988
-0.01019504,100,9081
-0.01062677,101,9174
-0.0107573,97,9267
-0.01077738,99,9385
-0.01036572,100,9453
-0.01057657,99,9546
-0.0108577,96,9639
-0.01025528,98,9732
-0.009542414,98,9825
-0.009672939,98,9918
-0.00999423,97,10011
-0.0102854,98,10104
-0.01014484,98,10197
-0.01048621,98,10290
-0.01086774,98,10401
-0.01066693,100,10476
-0.01052637,98,10569
-0.01044605,101,10662
-0.01043601,100,10755
-0.01034564,99,10848
-0.01066693,99,10941
-0.01031552,98,11034
-0.01025528,98,11127
-0.01002435,98,11220
-0.01026532,97,11313
-0.01056653,94,11424
-0.01091794,97,11499
-0.01108863,98,11596
-0.01064685,96,11686
-0.01016492,100,11778
-0.01021512,97,11872
-0.01055649,98,11964
-0.01082758,99,12057
-0.01097818,99,12151
-0.01121915,99,12244
-0.01100831,98,12337
-0.01087778,96,12443
-0.01046613,99,12523
-0.0103858,100,12616
-0.01059665,98,12709
-0.01041592,98,12802
-0.01044605,98,12895
-0.01047617,95,12988
-0.01044605,96,13081
-0.01067697,98,13174
-0.01031552,98,13267
-0.01084766,99,13360
-0.01067697,100,13470
-0.01022516,94,13546
-0.01049625,96,13639
-0.01048621,98,13732
-0.01030548,97,13825
-0.01073722,98,13918
-0.01100831,96,14011
-0.01060669,99,14104
-0.01011472,92,14197
-0.01019504,98,14290
-0.009933989,98,14383
-0.01032556,96,14494
