Force(N),Distance(mm),Time(ms)
4.016172,114,25779
3.991132,114,25872
3.969334,114,25964
3.951714,113,26057
3.979525,114,26150
4.009837,114,26242
4.012006,117,26335
4.003502,114,26428
3.961131,114,26520
3.913781,114,26644
3.877806,111,26705
3.847575,115,26798
3.827856,114,26891
3.825526,113,26983
3.842173,114,27076
3.854884,114,27168
3.862656,113,27261
3.879764,116,27354
3.902927,114,27446
3.917757,115,27539
3.922476,113,27650
3.932697,114,27724
3.941141,116,27817
3.938531,117,27909
3.940408,114,28002
3.948481,114,28094
3.960328,115,28187
3.979174,113,28280
3.987668,112,28372
3.975459,116,28465
3.96825,110,28558
3.966021,114,28669
3.99067,116,28743
4.026755,110,28835
4.034034,111,28928
4.04037,114,29021
4.028703,115,29113
4.019707,113,29206
4.017518,113,29299
4.001333,116,29391
3.98328,115,29484
3.958882,112,29576
3.934866,114,29688
3.938982,114,29762
3.954455,114,29854
3.982799,116,29947
4.02802,113,30040
4.076927,113,30132
4.118082,114,30225
4.138605,113,30317
4.153274,110,30410
4.167692,112,30503
4.173324,113,30595
4.170965,113,30720
4.167882,116,30781
4.173083,111,30873
4.192562,110,30967
4.211689,110,31058
4.209309,114,31151
4.196287,111,31244
4.175031,114,31336
4.187351,113,31429
4.204309,116,31522
4.191176,112,31614
4.171928,112,31725
4.157962,114,31802
4.15734,112,31892
4.150573,112,31985
4.136697,111,32077
4.136466,110,32170
4.126918,112,32263
4.10498,113,32355
4.08529,113,32448
4.071927,112,32540
4.066796,112,32633
4.068694,116,32744
4.103724,111,32818
4.154489,113,32911
4.17721,113,33004
4.187903,112,33096
4.183646,111,33189
4.163344,112,33282
4.13506,112,33375
4.113935,115,33467
4.11248,112,33559
4.096817,112,33652
4.042649,110,33763
3.967607,112,33837
3.90857,114,33930
3.871391,109,34022
3.842726,111,34115
3.839623,112,34210
3.856882,112,34300
3.864895,110,34393
3.870678,109,34486
3.883108,110,34578
3.895477,112,34671
3.922436,111,34782
3.95826,110,34856
3.992106,111,34949
4.016112,111,35045
4.002418,112,35134
3.96332,114,35227
3.941804,110,35319
3.925729,111,35412
3.913861,109,35504
3.908028,112,35597
3.925378,110,35690
3.947808,111,35801
3.972989,111,35884
4.011885,111,35968
4.039747,109,36060
4.039296,110,36153
4.0255,110,36246
4.017568,111,36338
4.015821,108,36431
3.992477,110,36524
3.970881,112,36617
3.96563,110,36709
3.951292,111,36820
3.938019,110,36894
3.930458,111,36987
3.911422,112,37079
3.894714,110,37172
3.886451,110,37265
3.894564,110,37357
3.920548,112,37451
3.91856,114,37542
3.883138,111,37635
3.841019,109,37728
3.800235,112,37834
3.767142,114,37913
3.73693,110,38006
3.716177,113,38098
