Distance_Sample,Time(S)
107,0.000499725341796875
107,0.04253673553466797
113,0.1471264362335205
109,0.2532172203063965
109,0.3578073978424072
108,0.46489977836608887
106,0.5694897174835205
109,0.6755812168121338
110,0.7806708812713623
107,0.8857622146606445
111,0.9918527603149414
112,1.0974431037902832
109,1.2035346031188965
110,1.308624505996704
110,1.4147157669067383
110,1.519806146621704
111,1.6258978843688965
111,1.7304871082305908
107,1.836578607559204
114,1.94166898727417
111,2.0477609634399414
111,2.152850389480591
108,2.2584409713745117
109,2.3635313510894775
106,2.469622850418091
107,2.5747132301330566
110,2.6808042526245117
110,2.7858951091766357
109,2.8914854526519775
108,2.99607515335083
108,3.1021664142608643
109,3.20725679397583
109,3.3138492107391357
110,3.417937755584717
109,3.524529457092285
110,3.629119396209717
110,3.735710859298706
108,3.840801477432251
111,3.9468936920166016
110,4.0514843463897705
109,4.157575368881226
107,4.262664318084717
110,4.368755578994751
110,4.473846673965454
110,4.57993745803833
108,4.684527158737183
110,4.790117979049683
110,4.895709276199341
110,5.001800537109375
109,5.106891393661499
107,5.211981296539307
112,5.317572593688965
112,5.423663377761841
108,5.529754400253296
109,5.634844779968262
107,5.740435838699341
111,5.845526456832886
110,5.951116561889648
112,6.0567076206207275
107,6.162798881530762
108,6.2678892612457275
110,6.373480319976807
110,6.478070020675659
110,6.584661960601807
109,6.689251661300659
109,6.795843124389648
109,6.900933742523193
110,7.006524562835693
112,7.111615180969238
106,7.217706203460693
111,7.32279634475708
109,7.428886413574219
108,7.53347635269165
107,7.6395673751831055
109,7.744157791137695
109,7.850750923156738
113,7.955840110778809
111,8.061931371688843
109,8.166522026062012
106,8.272112131118774
111,8.377202033996582
109,8.482794284820557
108,8.588884115219116
108,8.694976568222046
109,8.799566745758057
106,8.905656099319458
108,9.011748313903809
108,9.116837978363037
108,9.222428798675537
110,9.327519178390503
107,9.433611154556274
114,9.538201808929443
109,9.643792390823364
113,9.749883890151978
109,9.85547423362732
110,9.960064172744751
108,10.066154479980469
108,10.171245098114014
107,10.277336597442627
111,10.38292646408081
110,10.48851728439331
111,10.593109130859375
107,10.699199438095093
109,10.803789377212524
108,10.909879684448242
107,11.015470266342163
110,11.121561527252197
108,11.22615122795105
106,11.332242488861084
109,11.436832904815674
108,11.54392695426941
111,11.648515462875366
110,11.754606485366821
110,11.85919713973999
