Distance_Sample,Time(S)
42,0.0005054473876953125
40,0.028527021408081055
42,0.13411474227905273
37,0.23920631408691406
41,0.34479761123657227
38,0.45088696479797363
41,0.5559778213500977
40,0.6615691184997559
39,0.7676601409912109
39,0.8722500801086426
42,0.9788417816162109
42,1.0834310054779053
39,1.1895222663879395
42,1.2956135272979736
40,1.4007043838500977
39,1.5057940483093262
43,1.6118862628936768
42,1.7169756889343262
41,1.8225665092468262
41,1.9286587238311768
42,2.0337488651275635
44,2.139838695526123
42,2.244428873062134
40,2.350520372390747
42,2.45561146736145
40,2.561702251434326
41,2.6667919158935547
42,2.772883415222168
39,2.877473831176758
41,2.983064889907837
44,3.0881547927856445
45,3.1947460174560547
42,3.2988359928131104
41,3.4049267768859863
42,3.5105178356170654
41,3.616609573364258
43,3.7211992740631104
43,3.826789379119873
40,3.9328818321228027
41,4.03847336769104
44,4.143062353134155
42,4.249654293060303
40,4.35474419593811
41,4.459835052490234
43,4.565425872802734
42,4.6715168952941895
40,4.776607513427734
42,4.88269829750061
42,4.986786842346191
42,5.09387993812561
41,5.1979687213897705
42,5.304560899734497
42,5.4091503620147705
43,5.515742301940918
43,5.620832204818726
43,5.726423501968384
42,5.8310136795043945
40,5.9371044635772705
42,6.042695999145508
41,6.148787021636963
41,6.25387716293335
39,6.359467267990112
42,6.464057445526123
40,6.570151329040527
42,6.675739288330078
41,6.780829429626465
44,6.885919809341431
41,6.992512226104736
42,7.097601890563965
40,7.203693628311157
41,7.308784246444702
41,7.414875268936157
42,7.519465446472168
38,7.625056028366089
40,7.730646848678589
14,7.836737871170044
43,7.942828416824341
43,8.047919511795044
41,8.153510808944702
42,8.258600234985352
40,8.364691495895386
44,8.468780755996704
41,8.575873851776123
42,8.680462837219238
40,8.78655457496643
45,8.891144514083862
40,8.996734857559204
42,9.101826190948486
43,9.208418607711792
42,9.3135085105896
43,9.419599771499634
42,9.524189472198486
41,9.63077998161316
43,9.735871315002441
40,9.841461658477783
40,9.946551322937012
42,10.052643299102783
42,10.157733917236328
41,10.263824462890625
39,10.367914199829102
41,10.474506855010986
42,10.579596281051636
41,10.685186624526978
43,10.790777444839478
43,10.895868062973022
39,11.001459836959839
40,11.107551097869873
43,11.212140083312988
41,11.318732023239136
40,11.422821760177612
40,11.529412984848022
40,11.63450312614441
41,11.740595579147339
40,11.845184087753296
42,11.951775789260864
41,12.056366443634033
41,12.16245722770691
42,12.267046928405762
39,12.373639345169067
38,12.478729009628296
38,12.58482027053833
43,12.690912008285522
40,12.795501232147217
41,12.90159296989441
41,13.006682634353638
39,13.112774133682251
42,13.216863632202148
42,13.323455572128296
40,13.42854619026184
42,13.534636974334717
41,13.63972783088684
42,13.745819568634033
41,13.850409030914307
38,13.956499576568604
41,14.061590909957886
41,14.16768193244934
38,14.27277135848999
40,14.378862619400024
42,14.483452796936035
43,14.589044094085693
42,14.694634914398193
41,14.80072546005249
40,14.904814958572388
40,15.010906219482422
41,15.115996360778809
41,15.222588062286377
38,15.327679634094238
41,15.433769702911377
40,15.538859844207764
39,15.644452095031738
41,15.749541282653809
42,15.85513186454773
41,15.960723161697388
41,16.06681513786316
42,16.171404600143433
39,16.277495861053467
42,16.382585525512695
43,16.488176822662354
38,16.593767166137695
42,16.69985842704773
39,16.80444836616516
43,16.910540103912354
43,17.01563024520874
40,17.12122082710266
40,17.226811170578003
42,17.332402229309082
44,17.437493085861206
41,17.543583869934082
41,17.649675130844116
40,17.754765272140503
41,17.859856605529785
41,17.965447425842285
41,18.07153844833374
42,18.176628828048706
42,18.28272008895874
41,18.387810707092285
40,18.49390172958374
42,18.598491668701172
41,18.70458221435547
43,18.809672594070435
42,18.91576385498047
41,19.019853115081787
44,19.126444816589355
42,19.23153519630432
41,19.337626695632935
42,19.442216157913208
42,19.547807693481445
44,19.653398752212524
39,19.7594895362854
43,19.864078998565674
40,19.9706711769104
42,20.075761318206787
42,20.18185257911682
41,20.286442041397095
42,20.39253330230713
42,20.49762463569641
43,20.603715419769287
40,20.708806037902832
42,20.81389546394348
43,20.918986082077026
41,21.02507734298706
42,21.130669116973877
41,21.23676037788391
16,21.35386061668396
43,21.458951711654663
41,21.56454110145569
44,21.670632362365723
42,21.776723861694336
41,21.881813764572144
40,21.987404823303223
41,22.091994524002075
40,22.19808554649353
42,22.303176164627075
42,22.409268140792847
41,22.51485824584961
41,22.619949102401733
40,22.725040197372437
42,22.83163070678711
42,22.936720848083496
42,23.04281210899353
44,23.1474027633667
43,23.253493070602417
41,23.35858416557312
43,23.464675426483154
42,23.569265842437744
44,23.67535710334778
43,23.78044629096985
42,23.88653802871704
41,23.991628170013428
43,24.09771966934204
45,24.202809810638428
43,24.30890202522278
41,24.413491249084473
42,24.51908230781555
41,24.624672174453735
43,24.73076295852661
42,24.834852695465088
46,24.941444635391235
41,25.046034574508667
42,25.15212631225586
44,25.257717847824097
42,25.363808631896973
41,25.468397855758667
39,25.573989152908325
42,25.67908263206482
41,25.78567099571228
42,25.890761137008667
41,25.996851921081543
41,26.102442979812622
42,26.207032918930054
40,26.313624382019043
41,26.418715715408325
45,26.524806022644043
42,26.62989640235901
41,26.734986782073975
41,26.840577602386475
42,26.94666886329651
44,27.050758361816406
42,27.15785002708435
41,27.26244020462036
43,27.368532180786133
41,27.4736225605011
42,27.579712867736816
40,27.684803247451782
44,27.790395259857178
40,27.894984483718872
45,28.00157594680786
43,28.106166124343872
42,28.211756706237793
44,28.317847967147827
40,28.42343831062317
41,28.5285325050354
41,28.63461995124817
42,28.739710807800293
41,28.84580159187317
42,28.9503915309906
42,29.056483030319214
41,29.161072492599487
42,29.267664194107056
41,29.372254133224487
42,29.477844715118408
43,29.583435773849487
45,29.689526796340942
42,29.794116735458374
42,29.900208234786987
43,30.005798816680908
42,30.110888957977295
41,30.21648144721985
43,30.322571516036987
40,30.427662134170532
41,30.533752918243408
44,30.639844179153442
42,30.744433879852295
41,30.850526571273804
43,30.955615758895874
43,31.06170678138733
41,31.165796995162964
41,31.27188777923584
42,31.377479553222656
42,31.48306918144226
44,31.58866047859192
43,31.69425082206726
41,31.79984188079834
44,31.90543246269226
43,32.010523557662964
42,32.11661386489868
41,32.22170448303223
41,32.327797174453735
44,32.43288707733154
42,32.538477182388306
41,32.64306640625
42,32.74965810775757
40,32.85474872589111
40,32.960840702056885
45,33.06542944908142
42,33.171021699905396
39,33.276611328125
40,33.38220286369324
43,33.487292528152466
41,33.592883348464966
41,33.698474645614624
41,33.80456590652466
41,33.90915584564209
41,34.01574683189392
41,34.12083721160889
41,34.226428270339966
43,34.33101963996887
44,34.437610387802124
40,34.54270029067993
42,34.64829087257385
42,34.75388240814209
43,34.85897374153137
41,34.964564085006714
43,35.07065534591675
45,35.175243616104126
43,35.28133511543274
42,35.38592529296875
43,35.492016077041626
43,35.59760785102844
42,35.70369815826416
42,35.80828809738159
38,35.914880990982056
40,36.01946997642517
42,36.12556052207947
41,36.23065233230591
43,36.336743116378784
41,36.44283485412598
44,36.54792547225952
42,36.653515338897705
43,36.75860548019409
42,36.864696979522705
42,36.969786643981934
42,37.0748770236969
40,37.17996692657471
41,37.286558866500854
40,37.39164924621582
43,37.497740507125854
42,37.60283136367798
43,37.70842266082764
41,37.813512325286865
44,37.9196035861969
39,38.02419328689575
41,38.13078570365906
43,38.235875844955444
41,38.34096622467041
42,38.44655680656433
41,38.55214715003967
39,38.65723752975464
42,38.7628288269043
37,38.86842060089111
42,38.97451066970825
43,39.079100370407104
40,39.185192584991455
40,39.29078221321106
40,39.396873474121094
41,39.500964403152466
42,39.60705494880676
43,39.71214461326599
40,39.81873798370361
40,39.923826694488525
39,40.029417514801025
42,40.13450884819031
41,40.240599632263184
41,40.34519004821777
39,40.451781272888184
41,40.555870056152344
43,40.66246223449707
39,40.767552614212036
40,40.873143911361694
42,40.97873520851135
42,41.083824157714844
42,41.189915895462036
41,41.29500603675842
42,41.40009689331055
42,41.5061891078949
42,41.611778020858765
40,41.71686840057373
39,41.82195997238159
41,41.92855167388916
41,42.03364109992981
42,42.138731479644775
44,42.24482274055481
43,42.349912881851196
44,42.45550346374512
40,42.56159496307373
42,42.66618466377258
40,42.77277731895447
42,42.87786674499512
42,42.98295712471008
40,43.08804774284363
40,43.19413924217224
41,43.29973030090332
40,43.405821323394775
42,43.509910583496094
43,43.61600160598755
40,43.721091747283936
42,43.82718348503113
41,43.93177366256714
42,44.03886556625366
40,44.1429545879364
42,44.249045848846436
40,44.354636907577515
41,44.460227251052856
38,44.56481719017029
40,44.67140865325928
43,44.775999307632446
43,44.88259029388428
40,44.98718023300171
42,45.093772649765015
42,45.19986343383789
41,45.30445432662964
40,45.4100444316864
41,45.51563549041748
43,45.621726989746094
41,45.73782682418823
40,45.84441804885864
42,45.94950890541077
38,46.055599212646484
43,46.16069030761719
39,46.26577949523926
41,46.371370792388916
41,46.47746205329895
42,46.582552433013916
42,46.688143253326416
44,46.79373359680176
40,46.89982485771179
39,47.00541567802429
42,47.110506772994995
39,47.21659731864929
44,47.32168745994568
39,47.42777967453003
42,47.53186821937561
43,47.637959718704224
39,47.743051052093506
41,47.84914183616638
42,47.954732179641724
42,48.060824155807495
44,48.16541385650635
41,48.27100467681885
41,48.37659430503845
39,48.48218512535095
41,48.58777570724487
40,48.69386696815491
43,48.797956705093384
42,48.90454840660095
42,49.0096390247345
43,49.115230321884155
41,49.22082018852234
42,49.32641100883484
41,49.431501388549805
43,49.537092447280884
42,49.64218282699585
42,49.7482750415802
41,49.853864669799805
39,49.959455490112305
42,50.06554865837097
40,50.170637369155884
41,50.27672839164734
39,50.381819009780884
42,50.487409353256226
42,50.59199929237366
42,50.69809103012085
39,50.803181409835815
43,50.909772634506226
