Distance_Sample,Time(S)
87,0.0005004405975341797
87,0.016014814376831055
88,0.12260627746582031
90,0.22769665718078613
89,0.33328771591186523
90,0.43837833404541016
88,0.544468879699707
88,0.649559497833252
89,0.7546498775482178
87,0.8597402572631836
87,0.9663314819335938
87,1.0724222660064697
87,1.1775124073028564
88,1.2836048603057861
89,1.3881945610046387
91,1.494286060333252
90,1.5993764400482178
89,1.7054672241210938
88,1.8095567226409912
91,1.9156479835510254
88,2.0212390422821045
92,2.1273303031921387
90,2.2324202060699463
87,2.3385121822357178
90,2.442601203918457
90,2.5491931438446045
89,2.6542835235595703
87,2.759874105453491
86,2.865464925765991
89,2.9715561866760254
88,3.076646327972412
89,3.181736707687378
90,3.2873282432556152
89,3.393419027328491
89,3.4975078105926514
92,3.6045994758605957
89,3.7091896533966064
90,3.8147802352905273
90,3.919870138168335
90,4.026461839675903
90,4.131552457809448
89,4.237643480300903
89,4.341733455657959
87,4.447824954986572
89,4.553415536880493
87,4.659506320953369
93,4.763597011566162
88,4.870187759399414
88,4.974777698516846
86,5.081369638442993
91,5.186460018157959
89,5.291550874710083
87,5.397641897201538
90,5.503233194351196
86,5.608323574066162
89,5.714414596557617
88,5.820505619049072
88,5.925595283508301
90,6.031686305999756
90,6.136277198791504
89,6.241868019104004
90,6.347458124160767
89,6.453549146652222
91,6.558639764785767
89,6.664231061935425
90,6.769320964813232
88,6.8754119873046875
90,6.9805028438568115
86,7.0865936279296875
88,7.19168496131897
86,7.297274827957153
89,7.402365446090698
89,7.508456468582153
91,7.613546848297119
90,7.719638824462891
88,7.823727369308472
91,7.930319547653198
89,8.035409927368164
87,8.141000986099243
90,8.246590614318848
88,8.35269808769226
88,8.456772565841675
91,8.563364028930664
88,8.667953968048096
89,8.774545669555664
90,8.878635168075562
89,8.984725713729858
92,9.090317010879517
89,9.196408987045288
89,9.300997018814087
87,9.407588958740234
91,9.512679100036621
88,9.618269920349121
91,9.723360300064087
89,9.829451560974121
88,9.934542179107666
89,10.0406334400177
87,10.146724462509155
88,10.251315355300903
89,10.3574059009552
93,10.462496280670166
89,10.568587303161621
89,10.673678159713745
90,10.779268503189087
87,10.883858919143677
88,10.989950180053711
89,11.094539880752563
89,11.200631856918335
91,11.306723356246948
89,11.412312746047974
89,11.517405033111572
89,11.623495101928711
91,11.728585720062256
86,11.834676504135132
89,11.939265966415405
91,12.045358896255493
87,12.149947166442871
88,12.25553822517395
89,12.361629247665405
89,12.467220544815063
90,12.572310447692871
90,12.678401470184326
90,12.782992124557495
89,12.888582944869995
88,12.993672132492065
90,13.100264310836792
89,13.204854249954224
89,13.310945272445679
90,13.416036128997803
88,13.52262806892395
90,13.62671685218811
91,13.733308792114258
91,13.83789849281311
88,13.943990230560303
91,14.049580574035645
91,14.154671669006348
91,14.259761095046997
89,14.366353750228882
88,14.471444129943848
88,14.577534437179565
89,14.682624816894531
90,14.787715911865234
90,14.893305540084839
90,14.998896598815918
91,15.104487419128418
88,15.20957899093628
88,15.31466817855835
89,15.421260356903076
89,15.525850534439087
88,15.631940841674805
90,15.737531661987305
91,15.843622922897339
93,15.94821286201477
89,16.05380368232727
91,16.15939474105835
87,16.26498532295227
91,16.37057638168335
93,16.475666761398315
90,16.581257104873657
89,16.68734860420227
87,16.792439699172974
86,16.898030281066895
93,17.00261950492859
90,17.10971164703369
88,17.213802099227905
86,17.320393800735474
88,17.424983263015747
89,17.531575441360474
91,17.635664463043213
89,17.74225640296936
87,17.847346782684326
89,17.95343804359436
