Distance_Sample,Time(S)
56,0.0004990100860595703
55,0.04153585433959961
59,0.14612483978271484
55,0.2522163391113281
56,0.35680556297302246
60,0.4633975028991699
58,0.5674865245819092
58,0.6735780239105225
59,0.7791690826416016
57,0.8852598667144775
59,0.990349531173706
58,1.0964422225952148
57,1.2015316486358643
57,1.3071222305297852
58,1.4122130870819092
57,1.51780366897583
55,1.623394250869751
59,1.729485273361206
56,1.8350763320922852
55,1.9401664733886719
57,2.046257734298706
55,2.151348829269409
58,2.2564382553100586
57,2.36253023147583
55,2.468120574951172
59,2.5727105140686035
57,2.6793019771575928
60,2.7838919162750244
60,2.8894824981689453
60,2.9955737590789795
55,3.100665330886841
56,3.205754518508911
58,3.312347412109375
57,3.416935920715332
56,3.5235280990600586
56,3.627617835998535
56,3.734710216522217
59,3.8392996788024902
55,3.9453909397125244
53,4.05048131942749
56,4.156572580337524
57,4.261162281036377
59,4.367254018783569
55,4.472344636917114
57,4.578435897827148
55,4.683525085449219
56,4.789116621017456
55,4.894207954406738
58,5.000298738479614
56,5.106389760971069
55,5.211480379104614
58,5.316570281982422
55,5.422161102294922
56,5.527751922607422
54,5.633342742919922
55,5.739434003829956
53,5.8445234298706055
57,5.950114488601685
56,6.05520486831665
56,6.161297559738159
55,6.266386032104492
56,6.372477769851685
57,6.477568626403809
52,6.583158731460571
54,6.688249111175537
54,6.794340372085571
55,6.8994300365448
56,7.005521774291992
54,7.11111307144165
57,7.216203927993774
56,7.3222949504852295
57,7.427384614944458
57,7.533475637435913
54,7.638567686080933
57,7.744157075881958
54,7.849247455596924
54,7.955338716506958
55,8.059929132461548
55,8.165519952774048
56,8.271612167358398
53,8.376701593399048
54,8.482292413711548
55,8.587882995605469
55,8.693472862243652
54,8.799564361572266
56,8.903653860092163
56,9.01024603843689
58,9.1148362159729
56,9.220926761627197
56,9.326517820358276
54,9.431607961654663
56,9.537700176239014
55,9.643290519714355
54,9.748380184173584
55,9.854471921920776
56,9.959562540054321
55,10.06465220451355
54,10.17024278640747
54,10.276334047317505
52,10.38142466545105
57,10.487515449523926
57,10.592105388641357
56,10.69819688796997
54,10.804288864135742
55,10.909379959106445
57,11.015470266342163
55,11.120560884475708
57,11.226150035858154
57,11.330740451812744
56,11.437332391738892
53,11.541922807693481
58,11.64851427078247
54,11.752604007720947
53,11.859195709228516
57,11.963785886764526
57,12.070378065109253
57,12.174467086791992
57,12.280558109283447
57,12.38614821434021
53,12.491739749908447
53,12.596829414367676
56,12.70292067527771
56,12.80851149559021
55,12.913601636886597
55,13.019193410873413
55,13.125284194946289
53,13.229873895645142
58,13.335464477539062
55,13.441556930541992
55,13.547146558761597
56,13.6522376537323
57,13.758328437805176
55,13.86341905593872
57,13.969509840011597
53,14.074100017547607
54,14.179690837860107
54,14.28528094291687
55,14.391372442245483
57,14.495963335037231
57,14.602554082870483
57,14.70664358139038
56,14.812735557556152
59,14.918325185775757
53,15.024416446685791
55,15.128507375717163
56,15.234596967697144
55,15.339688062667847
55,15.445780038833618
54,15.551371335983276
55,15.656460046768188
56,15.762551307678223
55,15.868142127990723
57,15.973232507705688
57,16.078823804855347
53,16.183913946151733
55,16.289504289627075
57,16.39459490776062
55,16.501187086105347
58,16.606276988983154
57,16.71186852455139
56,16.816457748413086
58,16.92354941368103
55,17.028139352798462
55,17.13373041152954
55,17.238820552825928
57,17.345412731170654
56,17.44950270652771
54,17.555593252182007
53,17.660682916641235
54,17.767274618148804
55,17.872366905212402
55,17.9784574508667
56,18.083547830581665
56,18.18913769721985
55,18.294228076934814
